,ENTREZID,SYMBOL,TAIR
19238,823485,NA,AT3G43740
19239,823486,NA,AT3G43750
19240,823490,ZIFL2,AT3G43790
19241,823491,ATGSTU27,AT3G43800
19242,823491,GSTU27,AT3G43800
19243,823492,AtCAM7,AT3G43810
19244,823492,CAM7,AT3G43810
19245,823492,ZBF3,AT3G43810
19246,3769609,NA,AT3G43833
19247,823497,NA,AT3G43840
19248,823498,NA,AT3G43850
19249,823499,AtGH9A4,AT3G43860
19250,823499,GH9A4,AT3G43860
19251,823503,NA,AT3G43870
19252,823504,NA,AT3G43880
19253,823505,NA,AT3G43890
19254,823507,NA,AT3G43910
19255,823508,ATDCL3,AT3G43920
19256,823508,DCL3,AT3G43920
19257,823509,NA,AT3G43930
19258,823510,NA,AT3G43940
19259,823511,NA,AT3G43950
19260,823513,NA,AT3G43960
19261,823514,NA,AT3G43970
19262,823515,NA,AT3G43980
19263,823516,NA,AT3G43990
19264,28719368,NA,AT3G44006
19265,823518,NA,AT3G44010
19266,823519,NA,AT3G44020
19267,823523,NA,AT3G44050
19268,823524,NA,AT3G44060
19269,823525,NA,AT3G44070
19270,823526,NA,AT3G44080
19271,823527,NA,AT3G44090
19272,823530,NA,AT3G44100
19273,823531,ATJ,AT3G44110
19274,823531,ATJ3,AT3G44110
19275,823531,J3,AT3G44110
19276,823532,NA,AT3G44115
19277,823533,NA,AT3G44120
19278,823534,NA,AT3G44130
19279,823535,NA,AT3G44140
19280,823536,NA,AT3G44150
19281,823537,NA,AT3G44160
19282,823538,NA,AT3G44170
19283,823540,NA,AT3G44180
19284,823541,NA,AT3G44190
19285,823542,ATNEK6,AT3G44200
19286,823542,IBO1,AT3G44200
19287,823542,NEK6,AT3G44200
19288,823544,NA,AT3G44210
19289,823546,NA,AT3G44220
19290,823547,NA,AT3G44230
19291,823548,NA,AT3G44235
19292,823549,NA,AT3G44240
19293,823550,CYP71B38,AT3G44250
19294,823551,AtCAF1a,AT3G44260
19295,823551,CAF1a,AT3G44260
19296,6240351,NA,AT3G44261
19297,823553,NA,AT3G44280
19298,823554,aNAc060,AT3G44290
19299,823554,NAC060,AT3G44290
19300,823555,AtNIT2,AT3G44300
19301,823555,NIT2,AT3G44300
19302,823556,ATNIT1,AT3G44310
19303,823556,NIT1,AT3G44310
19304,823556,NITI,AT3G44310
19305,823557,AtNIT3,AT3G44320
19306,823557,NIT3,AT3G44320
19307,3769632,NA,AT3G44326
19308,823558,NA,AT3G44330
19309,823559,CEF,AT3G44340
19310,823560,aNAc061,AT3G44350
19311,823560,NAC061,AT3G44350
19312,823562,NA,AT3G44370
19313,823563,NA,AT3G44380
19314,823565,NA,AT3G44400
19315,5008060,NA,AT3G44428
19316,823568,NA,AT3G44430
19317,823569,NA,AT3G44440
19318,823570,NA,AT3G44450
19319,823571,AtbZIP67,AT3G44460
19320,823571,DPBF2,AT3G44460
19321,823573,cog1,AT3G44480
19322,823573,RPP1,AT3G44480
19323,823574,hda17,AT3G44490
19324,823576,NA,AT3G44510
19325,823578,HIRA,AT3G44530
