,ENTREZID,SYMBOL,TAIR
1,839580,ANAC001,AT1G01010
2,839580,NAC001,AT1G01010
3,839569,ARV1,AT1G01020
4,839321,NGA3,AT1G01030
5,839574,ASU1,AT1G01040
6,839574,ATDCL1,AT1G01040
7,839574,CAF,AT1G01040
8,839574,DCL1,AT1G01040
9,839574,EMB60,AT1G01040
10,839574,EMB76,AT1G01040
11,839574,SIN1,AT1G01040
12,839574,SUS1,AT1G01040
13,839579,AtPPa1,AT1G01050
14,839579,PPa1,AT1G01050
15,839341,LHY,AT1G01060
16,839341,LHY1,AT1G01060
17,839550,UMAMIT28,AT1G01070
18,839463,NA,AT1G01080
19,839429,PDH-E1,AT1G01090
20,839410,NA,AT1G01100
21,839394,IQD18,AT1G01110
22,839395,KCS1,AT1G01120
23,839359,NA,AT1G01130
24,839349,CIPK9,AT1G01140
25,839349,PKS6,AT1G01140
26,839349,SnRK3.12,AT1G01140
27,839294,NA,AT1G01150
28,839278,GIF2,AT1G01160
29,839263,NA,AT1G01170
30,839239,NA,AT1G01180
31,839233,CYP78A8,AT1G01190
32,839493,ATRAB-A3,AT1G01200
33,839493,ATRABA3,AT1G01200
34,839493,RABA3,AT1G01200
35,839481,NA,AT1G01210
36,839420,AtFKGP,AT1G01220
37,839420,FKGP,AT1G01220
38,839358,NA,AT1G01225
39,839331,NA,AT1G01230
40,839274,NA,AT1G01240
41,839322,NA,AT1G01250
42,839545,JAM2,AT1G01260
43,839470,CYP703,AT1G01280
44,839470,CYP703A2,AT1G01280
45,839445,CNX3,AT1G01290
46,839375,NA,AT1G01300
47,6240609,NA,AT1G01305
48,839333,NA,AT1G01310
49,839293,NA,AT1G01320
50,838832,ACBK1,AT1G01340
51,838832,ATCNGC10,AT1G01340
52,838832,CNGC10,AT1G01340
53,838964,NA,AT1G01350
54,6241268,NA,AT1G01355
55,838452,PYL9,AT1G01360
56,838452,RCAR1,AT1G01360
57,839104,CENH3,AT1G01370
58,839104,HTR12,AT1G01370
59,838096,ETC1,AT1G01380
60,837790,NA,AT1G01390
61,837049,NA,AT1G01400
62,837547,APUM22,AT1G01410
63,837547,PUM22,AT1G01410
64,837503,UGT72B3,AT1G01420
65,837247,TBL25,AT1G01430
66,837155,NA,AT1G01440
67,837060,NA,AT1G01450
68,6240388,NA,AT1G01453
69,839469,ATPIPK11,AT1G01460
70,839469,PIPK11,AT1G01460
71,837071,LEA14,AT1G01470
72,837071,LSR3,AT1G01470
73,837082,ACS2,AT1G01480
74,837082,AT-ACC2,AT1G01480
75,839440,NA,AT1G01490
76,839430,NA,AT1G01500
77,839401,AN,AT1G01510
78,839401,DOQ,AT1G01510
79,839337,ASG4,AT1G01520
80,837142,AGL28,AT1G01530
81,839533,NA,AT1G01540
82,839536,BPS1,AT1G01550
83,839523,ATMPK11,AT1G01560
84,839523,MPK11,AT1G01560
85,837183,NA,AT1G01570
86,839411,ATFRO2,AT1G01580
87,839411,FRD1,AT1G01580
88,839411,FRO2,AT1G01580
89,837194,ATFRO1,AT1G01590
90,837194,FRO1,AT1G01590
91,839347,CYP86A4,AT1G01600
92,839297,ATGPAT4,AT1G01610
93,839297,GPAT4,AT1G01610
94,839235,PIP1;3,AT1G01620
95,839235,PIP1C,AT1G01620
96,839235,TMP-B,AT1G01620
97,839231,NA,AT1G01630
98,839534,NA,AT1G01640
99,839499,ATSPPL4,AT1G01650
100,839499,SPPL4,AT1G01650
101,839461,NA,AT1G01660
102,839365,NA,AT1G01670
103,839251,ATPUB54,AT1G01680
104,839251,PUB54,AT1G01680
105,839243,ATPRD3,AT1G01690
106,839243,PRD3,AT1G01690
107,6241450,TRM33,AT1G01695
108,839250,ATROPGEF2,AT1G01700
109,839250,ROPGEF2,AT1G01700
110,839254,NA,AT1G01710
111,839265,ANAC002,AT1G01720
112,839265,ATAF1,AT1G01720
113,839271,NA,AT1G01725
114,839260,NA,AT1G01730
115,839253,BSK4,AT1G01740
116,839281,ADF11,AT1G01750
117,839252,AtTAD1,AT1G01760
118,839252,TAD1,AT1G01760
119,837323,NA,AT1G01770
120,839267,PLIM2b,AT1G01780
121,837332,ATKEA1,AT1G01790
122,837332,KEA1,AT1G01790
123,839259,NA,AT1G01800
124,839247,NA,AT1G01810
125,839257,PEX11C,AT1G01820
126,839264,NA,AT1G01830
127,839291,NA,AT1G01840
128,839283,PFC1,AT1G01860
129,837373,NA,AT1G01880
130,839318,ATSBT1.1,AT1G01900
131,839318,SBTI1.1,AT1G01900
132,839305,NA,AT1G01910
133,839313,NA,AT1G01920
134,839310,NA,AT1G01930
135,839309,NA,AT1G01940
136,839306,ARK2,AT1G01950
137,839306,AtKINUb,AT1G01950
138,839301,EDA10,AT1G01960
139,839299,NA,AT1G01970
140,839296,NA,AT1G01980
141,837456,NA,AT1G01990
142,839289,GAE2,AT1G02000
143,839288,SEC1A,AT1G02010
144,837477,NA,AT1G02020
145,839285,NA,AT1G02030
146,839284,NA,AT1G02040
147,839280,LAP6,AT1G02050
148,839280,PSKA,AT1G02050
149,839279,NA,AT1G02060
150,839275,SPL8,AT1G02065
151,839270,NA,AT1G02070
152,839244,NA,AT1G02080
153,839241,ATCSN7,AT1G02090
154,839241,COP15,AT1G02090
155,839241,CSN7,AT1G02090
156,839241,FUS5,AT1G02090
157,837541,SBI1,AT1G02100
158,839234,NA,AT1G02110
159,839232,VAD1,AT1G02120
160,837023,ARA-5,AT1G02130
161,837023,ARA5,AT1G02130
162,837023,ATRAB1B,AT1G02130
163,837023,ATRABD2A,AT1G02130
164,837023,RA-5,AT1G02130
165,837023,RABD2A,AT1G02130
166,837560,HAP1,AT1G02140
167,837560,MAGO,AT1G02140
168,837560,MEE63,AT1G02140
169,5007658,ALG12,AT1G02145
170,5007658,EBS4,AT1G02145
171,839577,NA,AT1G02150
172,839554,NA,AT1G02160
173,839561,ATMC1,AT1G02170
174,839561,AtMCP1b,AT1G02170
175,839561,ATMCPB1,AT1G02170
176,839561,LOL3,AT1G02170
177,839561,MC1,AT1G02170
178,839561,MCP1b,AT1G02170
179,839543,NA,AT1G02180
180,839541,NA,AT1G02190
181,837602,CER1,AT1G02205
182,837602,CER22,AT1G02205
183,839482,NA,AT1G02210
184,839476,ANAC003,AT1G02220
185,839476,NAC003,AT1G02220
186,837630,ANAC004,AT1G02230
187,837630,NAC004,AT1G02230
188,839390,aNAc005,AT1G02250
189,839390,NAC005,AT1G02250
190,839344,NA,AT1G02260
191,839381,NA,AT1G02270
192,839248,ATTOC33,AT1G02280
193,839248,PPI1,AT1G02280
194,839248,TOC33,AT1G02280
195,839255,NA,AT1G02290
196,839576,NA,AT1G02300
197,839538,NA,AT1G02305
198,839444,MAN1,AT1G02310
199,839425,NA,AT1G02320
200,839367,NA,AT1G02330
201,3766642,GL22,AT1G02335
202,3766642,PDGLP2,AT1G02335
203,839300,FBI1,AT1G02340
204,839300,HFR1,AT1G02340
205,839300,REP1,AT1G02340
206,839300,RSF1,AT1G02340
207,839490,NA,AT1G02350
208,837724,NA,AT1G02360
209,837735,NA,AT1G02370
210,837745,NA,AT1G02380
211,839558,ATGPAT2,AT1G02390
212,839558,GPAT2,AT1G02390
213,839508,ATGA2OX4,AT1G02400
214,839508,ATGA2OX6,AT1G02400
215,839508,DTA1,AT1G02400
216,839508,GA2OX6,AT1G02400
217,837769,NA,AT1G02405
218,839364,NA,AT1G02410
219,837779,NA,AT1G02420
220,839242,ARFD1B,AT1G02430
221,839242,ATARFD1B,AT1G02430
222,839230,ARFD1A,AT1G02440
223,839230,ATARFD1A,AT1G02440
224,837800,NIMIN-1,AT1G02450
225,837800,NIMIN1,AT1G02450
226,839443,NA,AT1G02460
227,837812,NA,AT1G02470
228,839236,NA,AT1G02475
229,28716023,NA,AT1G02490
230,839501,AtSAM1,AT1G02500
231,839501,MAT1,AT1G02500
232,839501,METK1,AT1G02500
233,839501,SAM-1,AT1G02500
234,839501,SAM1,AT1G02500
235,837846,ATKCO4,AT1G02510
236,837846,ATTPK4,AT1G02510
237,837846,KCO4,AT1G02510
238,837846,TPK4,AT1G02510
239,839353,ABCB11,AT1G02520
240,839353,MDR8,AT1G02520
241,839353,PGP11,AT1G02520
242,839282,ABCB12,AT1G02530
243,839282,PGP12,AT1G02530
244,839516,NA,AT1G02540
245,837879,NA,AT1G02550
246,839433,CLPP5,AT1G02560
247,839433,NCLPP1,AT1G02560
248,839433,NCLPP5,AT1G02560
249,839485,NA,AT1G02570
250,10723100,NA,AT1G02575
251,839422,EMB173,AT1G02580
252,839422,FIS1,AT1G02580
253,839422,MEA,AT1G02580
254,839422,SDG5,AT1G02580
255,839372,NA,AT1G02590
256,837915,NA,AT1G02610
257,839269,NA,AT1G02620
258,839240,NA,AT1G02630
259,837940,ATBXL2,AT1G02640
260,837940,BXL2,AT1G02640
261,837951,NA,AT1G02650
262,839544,NA,AT1G02660
263,839532,NA,AT1G02670
264,837962,TAF13,AT1G02680
265,839517,IMPA-6,AT1G02690
266,839492,NA,AT1G02700
267,839483,NA,AT1G02710
268,839475,AtGATL5,AT1G02720
269,839475,GATL5,AT1G02720
270,839467,ATCSLD5,AT1G02730
271,839467,CSLD5,AT1G02730
272,839467,SOS6,AT1G02730
273,839455,NA,AT1G02740
274,839432,NA,AT1G02750
275,839421,NA,AT1G02770
276,839407,emb2386,AT1G02780
277,839391,PGA4,AT1G02790
278,839385,ATCEL2,AT1G02800
279,839385,CEL2,AT1G02800
280,838078,NA,AT1G02810
281,839360,NA,AT1G02813
282,839308,NA,AT1G02816
283,839304,AtLEA3,AT1G02820
284,839304,LEA3,AT1G02820
285,838098,NA,AT1G02830
286,839262,At-SR34,AT1G02840
287,839262,ATSRP34,AT1G02840
288,839262,SR1,AT1G02840
289,839262,SR34,AT1G02840
290,839262,SRP34,AT1G02840
291,839435,BGLU11,AT1G02850
292,839559,BAH1,AT1G02860
293,839559,NLA,AT1G02860
294,839496,NA,AT1G02870
295,839303,TPK1,AT1G02880
296,839507,NA,AT1G02890
297,839389,ATRALF1,AT1G02900
298,839389,RALF1,AT1G02900
299,839389,RALFL1,AT1G02900
300,839350,LPA1,AT1G02910
301,839295,ATGST11,AT1G02920
302,839295,ATGSTF7,AT1G02920
303,839295,ATGSTF8,AT1G02920
304,839295,GST11,AT1G02920
305,839295,GSTF7,AT1G02920
306,839515,ATGST1,AT1G02930
307,839515,ATGSTF3,AT1G02930
308,839515,ATGSTF6,AT1G02930
309,839515,ERD11,AT1G02930
310,839515,GST1,AT1G02930
311,839515,GSTF6,AT1G02930
312,839479,ATGSTF5,AT1G02940
313,839479,GSTF5,AT1G02940
314,838240,ATGSTF4,AT1G02950
315,838240,GST31,AT1G02950
316,838240,GSTF4,AT1G02950
317,839363,NA,AT1G02960
318,839537,NA,AT1G02965
319,839453,ATWEE1,AT1G02970
320,839453,WEE1,AT1G02970
321,839415,ATCUL2,AT1G02980
322,839415,CUL2,AT1G02980
323,839380,NA,AT1G02990
324,839315,PEX6,AT1G03000
325,839556,NA,AT1G03010
326,839505,NA,AT1G03020
327,839473,NA,AT1G03030
328,839446,NA,AT1G03040
329,839416,NA,AT1G03050
330,838334,AtD27,AT1G03055
331,838334,D27,AT1G03055
332,839323,SPI,AT1G03060
333,839581,AtLFG4,AT1G03070
334,839581,LFG4,AT1G03070
335,838350,NET1D,AT1G03080
336,838362,MCCA,AT1G03090
337,839573,NA,AT1G03100
338,2745739,NA,AT1G03103
339,2745740,NA,AT1G03106
340,839572,AtTRM82,AT1G03110
341,839572,TRM82,AT1G03110
342,839571,ATRAB28,AT1G03120
343,839571,RAB28,AT1G03120
344,838400,PSAD-2,AT1G03130
345,839567,NA,AT1G03140
346,839562,NA,AT1G03150
347,839566,FZL,AT1G03160
348,839563,FAF2,AT1G03170
349,839563,FTM5,AT1G03170
350,839560,NA,AT1G03180
351,839557,ATXPD,AT1G03190
352,839557,UVH6,AT1G03190
353,839553,NA,AT1G03200
354,838493,NA,AT1G03210
355,838517,NA,AT1G03220
356,838532,NA,AT1G03230
357,838546,NA,AT1G03240
358,838557,NA,AT1G03250
359,839546,NA,AT1G03260
360,838595,NA,AT1G03270
361,838581,NA,AT1G03280
362,838603,NA,AT1G03290
363,838627,ATDUF1,AT1G03300
364,838627,DUF1,AT1G03300
365,839531,AtBE2,AT1G03310
366,839531,ATISA2,AT1G03310
367,839531,BE2,AT1G03310
368,839531,DBE1,AT1G03310
369,839531,ISA2,AT1G03310
370,839528,NA,AT1G03320
371,839526,LSM2,AT1G03330
372,839525,NA,AT1G03340
373,838679,NA,AT1G03350
374,839521,ATRRP4,AT1G03360
375,839521,RRP4,AT1G03360
376,10723112,NA,AT1G03365
377,839519,NA,AT1G03370
378,838702,ATATG18G,AT1G03380
379,838702,ATG18G,AT1G03380
380,838725,NA,AT1G03390
381,838751,NA,AT1G03400
382,838763,2A6,AT1G03410
383,839506,AHP5,AT1G03430
384,839504,NA,AT1G03440
385,838804,BSU1,AT1G03445
386,839497,AtBRN2,AT1G03457
387,839497,BRN2,AT1G03457
388,839494,NET3A,AT1G03470
389,839489,ATCPO-I,AT1G03475
390,839489,HEMF1,AT1G03475
391,839489,LIN2,AT1G03475
392,839487,ANAC006,AT1G03490
393,839487,NAC006,AT1G03490
394,3766646,NA,AT1G03495
395,839478,NA,AT1G03510
396,839471,NA,AT1G03520
397,839468,ATNAF1,AT1G03530
398,839468,NAF1,AT1G03530
399,839466,NA,AT1G03540
400,839464,AtSCAMP4,AT1G03550
401,839464,SCAMP4,AT1G03550
402,839458,NA,AT1G03560
403,839447,NA,AT1G03590
404,839449,PSB27,AT1G03600
405,838961,NA,AT1G03610
406,839448,NA,AT1G03620
407,839009,POR,AT1G03630
408,839009,PORC,AT1G03630
409,839021,NA,AT1G03650
410,28716028,NA,AT1G03660
411,839438,NA,AT1G03670
412,839436,ATHM1,AT1G03680
413,839436,ATM1,AT1G03680
414,839436,THM1,AT1G03680
415,839436,TRX-M1,AT1G03680
416,839052,NA,AT1G03687
417,839428,NA,AT1G03700
418,839427,NA,AT1G03710
419,839426,NA,AT1G03720
420,839106,NA,AT1G03730
421,839423,NA,AT1G03740
422,839417,CHR9,AT1G03750
423,839119,NA,AT1G03760
424,839413,ATRING1B,AT1G03770
425,839413,RING1B,AT1G03770
426,839140,AtTPX2,AT1G03780
427,839140,TPX2,AT1G03780
428,839408,AtTZF4,AT1G03790
429,839408,SOM,AT1G03790
430,839408,TZF4,AT1G03790
431,839173,ATERF10,AT1G03800
432,839173,ERF10,AT1G03800
433,839403,NA,AT1G03810
434,839400,NA,AT1G03820
435,839398,NA,AT1G03830
436,839396,MGP,AT1G03840
437,839392,ATGRXS13,AT1G03850
438,839392,GRXS13,AT1G03850
439,839228,ATPHB2,AT1G03860
440,839228,PHB2,AT1G03860
441,839384,FLA9,AT1G03870
442,839383,CRB,AT1G03880
443,839383,CRU2,AT1G03880
444,839379,NA,AT1G03890
445,839378,ABCI18,AT1G03900
446,839378,ATNAP4,AT1G03900
447,839378,NAP4,AT1G03900
448,839376,ABCI19,AT1G03905
449,839371,CTN,AT1G03910
450,839369,NA,AT1G03920
451,839368,ADK1,AT1G03930
452,839368,CKL9ALPHA,AT1G03930
453,839368,CKL9BETA,AT1G03930
454,839366,NA,AT1G03940
455,839362,VPS2.3,AT1G03950
456,839361,NA,AT1G03960
457,839356,GBF4,AT1G03970
458,839354,ATPCS2,AT1G03980
459,839354,PCS2,AT1G03980
460,3766656,NA,AT1G03982
461,839342,NA,AT1G03990
462,839339,NA,AT1G04000
463,839335,ATPSAT1,AT1G04010
464,839335,ERP1,AT1G04010
465,839335,PSAT1,AT1G04010
466,839329,ATBARD1,AT1G04020
467,839329,BARD1,AT1G04020
468,839329,ROW1,AT1G04020
469,839326,NA,AT1G04030
470,839325,NA,AT1G04040
471,839320,SDG13,AT1G04050
472,839320,SUVR1,AT1G04050
473,839317,ATTOM22-I,AT1G04070
474,839317,TOM22-I,AT1G04070
475,839314,PRP39,AT1G04080
476,839298,NA,AT1G04090
477,839290,IAA10,AT1G04100
478,839287,AtSDD1,AT1G04110
479,839287,SDD1,AT1G04110
480,839277,ABCC5,AT1G04120
481,839277,ATABCC5,AT1G04120
482,839277,ATMRP5,AT1G04120
483,839277,MRP5,AT1G04120
484,839276,AtTPR2,AT1G04130
485,839276,TPR2,AT1G04130
486,839272,NA,AT1G04140
487,839249,NA,AT1G04150
488,839246,ATXIB,AT1G04160
489,839246,XI-8,AT1G04160
490,839246,XI-B,AT1G04160
491,839246,XIB,AT1G04160
492,839238,EIF2,AT1G04170
493,837024,YUC9,AT1G04180
494,839442,TPR3,AT1G04190
495,839439,NA,AT1G04200
496,839441,NA,AT1G04210
497,839578,KCS2,AT1G04220
498,839575,NA,AT1G04230
499,839570,IAA3,AT1G04240
500,839570,SHY2,AT1G04240
501,839568,AXR3,AT1G04250
502,839568,IAA17,AT1G04250
503,839565,MPI7,AT1G04260
504,839565,MPIP7,AT1G04260
505,839565,PRA1.D,AT1G04260
506,839564,RPS15,AT1G04270
507,839555,NA,AT1G04280
508,839552,NA,AT1G04290
509,839551,NA,AT1G04300
510,839549,ERS2,AT1G04310
511,839548,NA,AT1G04330
512,839547,NA,AT1G04340
513,839542,NA,AT1G04350
514,839540,NA,AT1G04360
515,839539,ATERF14,AT1G04370
516,839539,ERF14,AT1G04370
517,839535,NA,AT1G04380
518,839530,NA,AT1G04390
519,839529,AT-PHH1,AT1G04400
520,839529,ATCRY2,AT1G04400
521,839529,CRY2,AT1G04400
522,839529,FHA,AT1G04400
523,839529,PHH1,AT1G04400
524,839527,c-NAD-MDH1,AT1G04410
525,839524,NA,AT1G04420
526,839522,NA,AT1G04430
527,839520,CKL13,AT1G04440
528,28716121,NA,AT1G04445
529,839513,RIC3,AT1G04450
530,839512,NA,AT1G04470
531,839511,NA,AT1G04480
532,839509,NA,AT1G04490
533,839510,NA,AT1G04500
534,839503,MAC3A,AT1G04510
535,839502,PDLP2,AT1G04520
536,839500,TPR4,AT1G04530
537,839498,NA,AT1G04540
538,839495,BDL,AT1G04550
539,839495,IAA12,AT1G04550
540,5007662,NA,AT1G04555
541,839491,NA,AT1G04560
542,839486,NA,AT1G04570
543,839488,AAO4,AT1G04580
544,839488,AO4,AT1G04580
545,839488,ATAO-4,AT1G04580
546,839488,ATAO2,AT1G04580
547,839484,NA,AT1G04590
548,839480,ATXIA,AT1G04600
549,839480,XIA,AT1G04600
550,839474,YUC3,AT1G04610
551,839472,HCAR,AT1G04620
552,3766658,NA,AT1G04625
553,839465,MEE4,AT1G04630
554,839460,AtPOP5,AT1G04635
555,839460,EMB1687,AT1G04635
556,839460,POP5,AT1G04635
557,839462,LIP2,AT1G04640
558,839459,NA,AT1G04645
559,839457,NA,AT1G04650
560,839454,NA,AT1G04660
561,839451,NA,AT1G04670
562,839452,NA,AT1G04680
563,839450,KAB1,AT1G04690
564,839450,KV-BETA1,AT1G04690
565,839437,NA,AT1G04700
566,839434,KAT1,AT1G04710
567,839434,PKT4,AT1G04710
568,839431,CTF18,AT1G04730
569,839419,AT,AT1G04750
570,839419,ATVAMP721,AT1G04750
571,839419,VAMP721,AT1G04750
572,839419,VAMP7B,AT1G04750
573,839424,ATVAMP726,AT1G04760
574,839424,VAMP726,AT1G04760
575,839418,NA,AT1G04770
576,5007663,NA,AT1G04778
577,839414,NA,AT1G04780
578,839412,NA,AT1G04790
579,839406,NA,AT1G04800
580,839409,NA,AT1G04810
581,839405,TOR2,AT1G04820
582,839405,TUA4,AT1G04820
583,839404,NA,AT1G04830
584,839402,NA,AT1G04840
585,839399,NA,AT1G04850
586,839397,ATUBP2,AT1G04860
587,839397,UBP2,AT1G04860
588,839393,ATPRMT10,AT1G04870
589,839393,PRMT10,AT1G04870
590,839388,NA,AT1G04880
591,839387,NA,AT1G04890
592,839386,NA,AT1G04900
593,839373,NA,AT1G04910
594,839382,ATSPS3F,AT1G04920
595,839382,SPS3F,AT1G04920
596,839377,NA,AT1G04930
597,839374,atTIC20,AT1G04940
598,839374,AtTic20-I,AT1G04940
599,839374,TIC20,AT1G04940
600,839374,Tic20-I,AT1G04940
601,5007664,NA,AT1G04945
602,839370,ATTAF6,AT1G04950
603,839370,EMB2781,AT1G04950
604,839370,TAF6,AT1G04950
605,839370,TAFII59,AT1G04950
606,839346,NA,AT1G04960
607,839357,NA,AT1G04970
608,839355,ATPDI10,AT1G04980
609,839355,ATPDIL2-2,AT1G04980
610,839355,PDI10,AT1G04980
611,839355,PDIL2-2,AT1G04980
612,839352,NA,AT1G04985
613,839351,NA,AT1G04990
614,839348,AtPFA-DSP1,AT1G05000
615,839348,PFA-DSP1,AT1G05000
616,839345,ACO4,AT1G05010
617,839345,EAT1,AT1G05010
618,839345,EFE,AT1G05010
619,839343,NA,AT1G05020
620,839340,NA,AT1G05030
621,839338,NA,AT1G05040
622,839332,ATGTF2H2,AT1G05055
623,839332,GTF2H2,AT1G05055
624,839336,NA,AT1G05060
625,28716239,CLE20,AT1G05065
626,839330,NA,AT1G05070
627,839328,NA,AT1G05080
628,2745742,NA,AT1G05085
629,839327,NA,AT1G05090
630,839324,MAPKKK18,AT1G05100
631,839319,NA,AT1G05120
632,6240520,NA,AT1G05136
633,839307,NA,AT1G05140
634,839312,NA,AT1G05150
635,839311,ATKAO1,AT1G05160
636,839311,CYP88A3,AT1G05160
637,839311,KAO1,AT1G05160
638,839292,NA,AT1G05170
639,839286,AXR1,AT1G05180
640,839273,emb2394,AT1G05190
641,839268,ATGLR3.4,AT1G05200
642,839268,GLR3.4,AT1G05200
643,839268,GLUR3,AT1G05200
644,839266,NA,AT1G05205
645,839261,NA,AT1G05210
646,839258,NA,AT1G05220
647,839256,HDG2,AT1G05230
648,839237,NA,AT1G05240
649,838206,AtPRX1,AT1G05250
650,838206,PRX2,AT1G05250
651,837028,RCI3,AT1G05260
652,837028,RCI3A,AT1G05260
653,837027,NA,AT1G05270
654,837026,NA,AT1G05280
655,837025,NA,AT1G05290
656,6240483,NA,AT1G05291
657,837029,ZIP5,AT1G05300
658,837030,NA,AT1G05310
659,837031,NA,AT1G05320
660,837032,NA,AT1G05330
661,837033,NA,AT1G05340
662,837034,NA,AT1G05350
663,837035,KMS2,AT1G05360
664,837038,NA,AT1G05370
665,837039,NA,AT1G05380
666,837040,LPA19,AT1G05385
667,837040,Psb27-H1,AT1G05385
668,837041,NA,AT1G05400
669,837042,NA,AT1G05410
670,837043,ATOFP12,AT1G05420
671,837043,OFP12,AT1G05420
672,837044,NA,AT1G05430
673,837045,NA,AT1G05440
674,837046,NA,AT1G05450
675,837047,SDE3,AT1G05460
676,837048,CVP2,AT1G05470
677,837051,chr31,AT1G05490
678,837052,ATSYTE,AT1G05500
679,837052,NTMC2T2.1,AT1G05500
680,837052,NTMC2TYPE2.1,AT1G05500
681,837052,SYT5,AT1G05500
682,837052,SYTE,AT1G05500
683,837053,OBAP1a,AT1G05510
684,837054,NA,AT1G05520
685,837055,UGT2,AT1G05530
686,837055,UGT75B2,AT1G05530
687,837056,NA,AT1G05540
688,837057,NA,AT1G05550
689,837058,UGT1,AT1G05560
690,837058,UGT75B1,AT1G05560
691,837059,ATGSL06,AT1G05570
692,837059,ATGSL6,AT1G05570
693,837059,CALS1,AT1G05570
694,837059,GSL06,AT1G05570
695,837059,GSL6,AT1G05570
696,837061,NA,AT1G05575
697,837062,NA,AT1G05577
698,837063,ATCHX23,AT1G05580
699,837063,CHX23,AT1G05580
700,837064,ATHEX3,AT1G05590
701,837064,HEXO2,AT1G05590
702,837065,EMB3101,AT1G05600
703,837066,APS2,AT1G05610
704,837067,NA,AT1G05615
705,837068,NSH2,AT1G05620
706,837068,URH2,AT1G05620
707,837069,5PTASE13,AT1G05630
708,837069,AT5PTASE13,AT1G05630
709,837070,NA,AT1G05640
710,837072,NA,AT1G05650
711,837073,NA,AT1G05660
712,837074,NA,AT1G05670
713,10723139,NA,AT1G05675
714,837075,UGT74E2,AT1G05680
715,837076,BT3,AT1G05690
716,837077,NA,AT1G05700
717,837078,NA,AT1G05710
718,837079,NA,AT1G05720
719,837080,NA,AT1G05730
720,837081,NA,AT1G05740
721,837083,CLB19,AT1G05750
722,837083,PDE247,AT1G05750
723,837084,RTM1,AT1G05760
724,837085,NA,AT1G05770
725,837086,NA,AT1G05780
726,837087,NA,AT1G05785
727,837088,NA,AT1G05790
728,837089,DGL,AT1G05800
729,837090,AKS2,AT1G05805
730,837091,ARA,AT1G05810
731,837091,ARA-1,AT1G05810
732,837091,ATRAB11D,AT1G05810
733,837091,ATRABA5E,AT1G05810
734,837091,RABA5E,AT1G05810
735,837092,ATSPPL5,AT1G05820
736,837092,SPPL5,AT1G05820
737,837093,ATX2,AT1G05830
738,837093,SDG30,AT1G05830
739,5007665,NA,AT1G05835
740,837094,NA,AT1G05840
741,837095,ATCTL1,AT1G05850
742,837095,CTL1,AT1G05850
743,837095,ELP,AT1G05850
744,837095,ELP1,AT1G05850
745,837095,ERH2,AT1G05850
746,837095,HOT2,AT1G05850
747,837095,POM1,AT1G05850
748,837096,NA,AT1G05860
749,837097,NA,AT1G05870
750,837098,ARI12,AT1G05880
751,837098,ATARI12,AT1G05880
752,837099,ARI5,AT1G05890
753,837099,ATARI5,AT1G05890
754,3766662,NA,AT1G05894
755,837100,ATNTH2,AT1G05900
756,837100,NTH2,AT1G05900
757,837101,NA,AT1G05910
758,837102,NA,AT1G05920
759,837103,NA,AT1G05930
760,837104,CAT9,AT1G05940
761,837105,NA,AT1G05950
762,837106,NA,AT1G05960
763,837107,NA,AT1G05970
764,837108,RHS1,AT1G05990
765,837109,NA,AT1G06000
766,837110,NA,AT1G06010
767,837111,NA,AT1G06020
768,837112,NA,AT1G06030
769,837113,BBX24,AT1G06040
770,837113,STO,AT1G06040
771,837114,NA,AT1G06050
772,837115,NA,AT1G06060
773,837116,NA,AT1G06070
774,837117,ADS1,AT1G06080
775,837117,AtADS1,AT1G06080
776,837118,NA,AT1G06090
777,837119,NA,AT1G06100
778,837120,SKIP16,AT1G06110
779,837121,NA,AT1G06120
780,837122,GLX2-4,AT1G06130
781,2745743,NA,AT1G06135
782,6240721,NA,AT1G06137
783,837123,MEF3,AT1G06140
784,5007666,NA,AT1G06148
785,6241227,EMB1444,AT1G06150
786,837125,ORA59,AT1G06160
787,837126,NA,AT1G06170
788,837127,ATMYB13,AT1G06180
789,837127,ATMYBLFGN,AT1G06180
790,837127,MYB13,AT1G06180
791,837128,RHON1,AT1G06190
792,837129,NA,AT1G06200
793,837130,NA,AT1G06210
794,837131,CLO,AT1G06220
795,837131,GFA1,AT1G06220
796,837131,MEE5,AT1G06220
797,837132,CLE3,AT1G06225
798,837133,GTE4,AT1G06230
799,837134,NA,AT1G06240
800,837135,NA,AT1G06250
801,837137,NA,AT1G06260
802,837138,NA,AT1G06270
803,837139,LBD2,AT1G06280
804,837140,ACX3,AT1G06290
805,837140,ATACX3,AT1G06290
806,837141,ACX6,AT1G06310
807,837143,NA,AT1G06320
808,837144,NA,AT1G06330
809,837145,NA,AT1G06340
810,837146,ADS4,AT1G06350
811,837146,AtADS4,AT1G06350
812,837147,NA,AT1G06360
813,837149,NA,AT1G06380
814,837150,ATGSK1,AT1G06390
815,837150,ATSK2-3,AT1G06390
816,837150,ATSK22,AT1G06390
817,837150,BIL2,AT1G06390
818,837150,GSK1,AT1G06390
819,837150,SK22,AT1G06390
820,837151,ARA-2,AT1G06400
821,837151,ARA2,AT1G06400
822,837151,ATRAB11E,AT1G06400
823,837151,ATRABA1A,AT1G06400
824,837152,ATTPS7,AT1G06410
825,837152,ATTPSA,AT1G06410
826,837152,TPS7,AT1G06410
827,837153,NA,AT1G06420
828,837154,FTSH8,AT1G06430
829,837156,NA,AT1G06440
830,837157,NA,AT1G06450
