GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01470,1112.094871,4.587650988,0.158110481,29.01547678,4.20E-185,8.11E-181
AT5G15960,2209.761063,6.984532527,0.282665963,24.70949262,8.46E-135,8.17E-131
AT2G42540,3293.986126,10.18482174,0.412867245,24.6685148,2.33E-134,1.50E-130
AT2G15970,1727.773752,3.943737678,0.161771573,24.37843444,2.90E-131,1.40E-127
AT5G66400,1554.915304,9.841177336,0.412732025,23.84398769,1.17E-125,4.52E-122
AT5G25610,832.2872698,4.33642005,0.194069509,22.3446747,1.36E-110,4.38E-107
AT1G13930,1611.317637,3.195085725,0.14894411,21.45157486,4.41E-102,1.22E-98
AT5G15970,2041.923444,4.521705111,0.210912291,21.43879382,5.81E-102,1.40E-98
AT5G52310,1265.106378,7.336660136,0.344288078,21.30965492,9.24E-101,1.98E-97
AT1G35720,580.7390518,2.476989903,0.124494028,19.89645568,4.37E-88,8.43E-85
AT1G52690,853.0944714,9.286823549,0.488134401,19.02513637,1.06E-80,1.85E-77
AT3G15450,184.4532769,-4.094508082,0.21630476,-18.92934807,6.54E-80,1.05E-76
AT2G39800,711.5711223,5.311739321,0.281617512,18.86153769,2.36E-79,3.51E-76
AT3G50970,1143.31144,5.034538616,0.268764388,18.73216406,2.71E-78,3.73E-75
AT1G62570,326.5161418,5.36642424,0.286733588,18.71571546,3.69E-78,4.75E-75
AT4G27520,745.9523886,2.918045284,0.159132495,18.33720561,4.18E-75,5.04E-72
AT5G24770,827.3108034,6.22542805,0.339830018,18.31924113,5.81E-75,6.60E-72
AT3G49120,472.2680939,3.233267765,0.177094747,18.25727656,1.81E-74,1.94E-71
AT3G27690,721.906785,-4.105104219,0.225137984,-18.23372561,2.79E-74,2.83E-71
AT5G61820,244.6329074,3.275670502,0.186655802,17.54925624,6.03E-69,5.82E-66
AT2G33380,783.6942922,7.72986843,0.442356546,17.47429422,2.25E-68,2.07E-65
AT4G23600,349.2549033,5.844599061,0.340065521,17.18668521,3.34E-66,2.93E-63
AT5G59320,515.2168857,7.940707554,0.464169229,17.1073545,1.31E-65,1.10E-62
AT1G29395,366.7652533,6.502758086,0.38440221,16.9165471,3.40E-64,2.73E-61
AT3G11410,213.439268,4.204071565,0.25071157,16.76855825,4.14E-63,3.20E-60
AT4G16190,527.9674244,2.602928466,0.155564984,16.73209745,7.65E-63,5.68E-60
AT1G16850,292.7058523,7.202652866,0.442567274,16.27470736,1.49E-59,1.07E-56
AT2G25625,146.7674435,4.449599435,0.275035332,16.178283,7.18E-59,4.95E-56
AT2G05070,1383.396536,-3.475130103,0.21536157,-16.13625912,1.42E-58,9.45E-56
AT2G10940,360.9516671,-3.873737769,0.241024936,-16.07193778,4.01E-58,2.58E-55
AT4G16980,204.7911011,-3.100386533,0.196888313,-15.74693026,7.21E-56,4.49E-53
AT3G02480,973.6465379,10.37020734,0.660909494,15.6908131,1.75E-55,1.05E-52
AT2G42530,1684.03835,10.66105038,0.680726746,15.66127736,2.78E-55,1.63E-52
AT2G45180,322.7772938,-4.905481518,0.316230578,-15.51235669,2.86E-54,1.63E-51
AT1G54100,293.3925218,3.802606911,0.247027733,15.39344132,1.81E-53,9.99E-51
AT3G26740,1619.50889,3.025610735,0.197565542,15.31446581,6.12E-53,3.28E-50
AT2G41190,240.1645354,7.33664365,0.484519443,15.14210371,8.54E-52,4.46E-49
AT4G26080,200.2322931,3.796337701,0.254096753,14.94052032,1.80E-50,9.13E-48
AT3G08940,995.2600019,-2.412404521,0.162547996,-14.84118278,7.93E-50,3.93E-47
AT4G25050,269.7575391,-2.613990842,0.176699475,-14.79342731,1.62E-49,7.80E-47
AT4G22240,341.3687614,2.323052775,0.15730616,14.76771649,2.37E-49,1.11E-46
AT3G16240,229.3034658,-3.107141093,0.211061366,-14.72150568,4.69E-49,2.16E-46
AT1G37130,102.8386169,-3.920849794,0.266557404,-14.70921361,5.63E-49,2.53E-46
