GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G15450,184.4532769,-3.139396296,0.196676213,-15.96225717,2.34E-57,6.04E-54
AT5G57560,90.22958226,-4.0208388,0.282590957,-14.22847653,6.10E-46,6.88E-43
AT2G41430,502.9553806,-1.304794126,0.104332281,-12.50614009,6.91E-36,4.99E-33
AT5G20250,48.3697597,-3.642733557,0.293658865,-12.4046436,2.47E-35,1.59E-32
AT1G74670,63.90221898,-3.96817243,0.32128273,-12.35102935,4.81E-35,2.99E-32
AT1G37130,102.8386169,-2.918227027,0.240229559,-12.14766007,5.90E-34,3.44E-31
AT1G03870,50.04668002,-3.793570245,0.314879742,-12.04767959,1.99E-33,1.09E-30
AT4G36850,40.56445032,-5.150261667,0.42812223,-12.02988611,2.48E-33,1.31E-30
AT4G08950,47.71797448,-4.108913367,0.345914027,-11.87842368,1.53E-32,7.48E-30
AT1G80920,309.014805,-2.163868579,0.182277608,-11.87128034,1.67E-32,7.73E-30
AT5G49360,72.91714951,-3.830884282,0.322685838,-11.87186989,1.66E-32,7.73E-30
AT2G38310,42.88673456,-3.838171279,0.326716855,-11.74769902,7.26E-32,3.12E-29
AT4G27450,49.88021529,-4.264235382,0.365318332,-11.67265644,1.76E-31,7.05E-29
AT5G19120,41.5125766,-4.228744908,0.374576403,-11.28940552,1.48E-29,5.57E-27
AT3G48360,37.6430457,-4.478965148,0.399206598,-11.21966713,3.26E-29,1.18E-26
AT2G19800,39.84776929,-3.719420673,0.344206735,-10.80577541,3.23E-27,1.08E-24
AT1G80180,79.70783284,-2.730878894,0.265738171,-10.27657744,8.99E-25,2.53E-22
AT5G22920,33.92609131,-3.737878394,0.369499924,-10.11604644,4.69E-24,1.23E-21
AT4G35770,86.21069474,-2.98891533,0.301228498,-9.922418858,3.33E-23,8.34E-21
AT5G14120,34.83730169,-3.355066932,0.338560713,-9.909794016,3.77E-23,9.21E-21
AT5G61590,54.08335939,-4.567620205,0.462136639,-9.883700672,4.90E-23,1.16E-20
AT2G40000,87.50365699,-3.110792803,0.315335289,-9.865032268,5.90E-23,1.38E-20
AT2G41100,150.3014407,-2.444563372,0.248358801,-9.842869922,7.36E-23,1.70E-20
AT2G46330,91.74317897,-2.23908052,0.227572812,-9.838963177,7.65E-23,1.75E-20
AT1G19770,53.1328641,-2.719221166,0.281036827,-9.675675599,3.83E-22,8.63E-20
AT1G72430,42.67782467,-3.335250463,0.352484871,-9.462109558,3.02E-21,6.26E-19
AT5G19190,43.53128349,-3.055188058,0.325712128,-9.380025467,6.60E-21,1.32E-18
AT1G68840,28.3048738,-3.572964476,0.386822842,-9.236694664,2.54E-20,4.94E-18
AT3G30775,52.55700183,-2.067033177,0.22746311,-9.087333685,1.01E-19,1.91E-17
AT5G63160,66.93567406,-2.04096646,0.226829626,-8.997794939,2.30E-19,4.24E-17
AT4G02380,292.4429414,-1.948188992,0.217173858,-8.970642291,2.95E-19,5.32E-17
AT1G77760,54.08067668,-2.469680495,0.279932057,-8.822428261,1.12E-18,1.87E-16
AT2G16060,22.6937231,-3.499019239,0.398238727,-8.786235497,1.55E-18,2.54E-16
AT2G20670,45.47606826,-3.123932754,0.361061214,-8.65208623,5.06E-18,7.87E-16
AT4G38470,36.70828048,-2.358095792,0.272833956,-8.642970342,5.48E-18,8.38E-16
AT4G33560,21.89528378,-3.665389456,0.424313949,-8.638390195,5.70E-18,8.65E-16
AT3G26510,38.90264265,-2.638601182,0.30660675,-8.60581569,7.58E-18,1.14E-15
AT1G23390,40.13007756,-2.937431339,0.343085138,-8.561814578,1.11E-17,1.66E-15
AT2G45170,38.25488452,-2.552977352,0.298208754,-8.561040943,1.12E-17,1.66E-15
AT4G13340,29.32172607,-3.261638289,0.381178335,-8.556725265,1.16E-17,1.70E-15
AT5G67420,36.10040204,-2.473806042,0.289563198,-8.543233595,1.31E-17,1.90E-15
AT3G23030,92.7423893,-1.786827628,0.209347189,-8.535235827,1.40E-17,2.02E-15
AT5G65660,75.97856762,-1.781338103,0.211365197,-8.427773969,3.52E-17,5.05E-15
AT3G10020,160.9346985,-1.917182512,0.229352623,-8.359104362,6.32E-17,8.84E-15
AT3G29240,77.50656154,-1.799979825,0.215957963,-8.334862008,7.76E-17,1.08E-14
AT3G16240,229.3034658,-1.642832005,0.197287437,-8.327098931,8.28E-17,1.14E-14
AT5G21170,26.86522996,-2.933167414,0.355876108,-8.242102646,1.69E-16,2.23E-14
AT2G01850,69.15493575,-1.741253889,0.211655339,-8.226836587,1.92E-16,2.51E-14
AT1G80440,21.17773071,-4.388916192,0.539457783,-8.135791771,4.09E-16,5.20E-14
AT4G17245,54.47079195,-2.395962919,0.296969777,-8.068036226,7.14E-16,8.96E-14
AT2G46220,91.78633389,-1.723499455,0.216234036,-7.970528082,1.58E-15,1.91E-13
AT1G19530,25.52976705,-3.358317753,0.421785805,-7.962140298,1.69E-15,2.04E-13
AT5G15350,46.54549629,-2.173572134,0.273170311,-7.956838804,1.76E-15,2.08E-13
AT1G43800,19.24346284,-4.678978456,0.593819434,-7.879463325,3.29E-15,3.71E-13
AT5G05440,17.29499883,-3.936378847,0.503403648,-7.819527852,5.30E-15,5.87E-13
AT5G28770,17.38831798,-3.67505554,0.470815245,-7.805727571,5.92E-15,6.47E-13
AT4G17870,50.79857897,-2.020661047,0.259310056,-7.792451548,6.57E-15,7.06E-13
AT1G11260,37.7604543,-2.553251761,0.332271419,-7.684235273,1.54E-14,1.58E-12
AT5G56870,16.63494513,-3.727284461,0.486557216,-7.660526536,1.85E-14,1.88E-12
AT2G39570,40.35484407,-1.961121912,0.256225477,-7.653891167,1.95E-14,1.97E-12
