GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G52310,1265.106378,6.858920131,0.344572688,19.90558269,3.64E-88,6.57E-84
AT5G15970,2041.923444,4.141158398,0.211153475,19.61207785,1.22E-85,1.10E-81
AT2G15970,1727.773752,3.139534815,0.162486017,19.32187692,3.52E-83,2.12E-79
AT1G01470,1112.094871,3.023121206,0.160437656,18.84296538,3.36E-79,1.51E-75
AT2G42540,3293.986126,7.524542224,0.413579382,18.19370732,5.79E-74,2.09E-70
AT1G13930,1611.317637,2.42261996,0.149773562,16.17521766,7.54E-59,2.27E-55
AT3G15450,184.4532769,-3.139396296,0.196676213,-15.96225717,2.34E-57,6.04E-54
AT2G33380,783.6942922,6.988813002,0.442862387,15.78100379,4.20E-56,9.49E-53
AT4G23600,349.2549033,5.314359379,0.341133182,15.57854719,1.02E-54,2.04E-51
AT5G15960,2209.761063,4.375377404,0.284113769,15.40008926,1.63E-53,2.95E-50
AT4G24960,201.0438415,3.64416843,0.240665774,15.14203024,8.55E-52,1.40E-48
AT1G10370,135.3983581,2.773851961,0.186644078,14.86171966,5.84E-50,8.79E-47
AT5G25610,832.2872698,2.909790179,0.196279693,14.82471332,1.01E-49,1.41E-46
AT3G50970,1143.31144,3.934966088,0.26962103,14.59443311,3.05E-48,3.93E-45
AT1G62570,326.5161418,4.158443515,0.290018282,14.3385565,1.26E-46,1.51E-43
AT5G57560,90.22958226,-4.0208388,0.282590957,-14.22847653,6.10E-46,6.88E-43
AT5G61820,244.6329074,2.647702188,0.18979625,13.95023446,3.14E-44,3.33E-41
AT5G24770,827.3108034,4.760072056,0.341424939,13.94178197,3.53E-44,3.54E-41
AT2G39800,711.5711223,3.911907474,0.283636864,13.79195717,2.85E-43,2.71E-40
AT3G23810,402.3523855,2.296440466,0.170257707,13.48802653,1.84E-41,1.66E-38
AT3G45140,601.3580704,4.463786543,0.338575028,13.18403952,1.08E-39,9.32E-37
AT4G27520,745.9523886,2.097630443,0.160753391,13.04874774,6.46E-39,5.30E-36
AT4G26080,200.2322931,3.220010324,0.256661782,12.54573354,4.20E-36,3.29E-33
AT4G23630,218.3972341,1.834584095,0.146365536,12.53426278,4.85E-36,3.65E-33
AT2G41430,502.9553806,-1.304794126,0.104332281,-12.50614009,6.91E-36,4.99E-33
AT3G46970,155.4682915,3.829986234,0.307077965,12.47235776,1.06E-35,7.34E-33
AT1G73390,166.0414492,3.478112303,0.280234983,12.41141367,2.27E-35,1.52E-32
AT5G20250,48.3697597,-3.642733557,0.293658865,-12.4046436,2.47E-35,1.59E-32
AT1G74670,63.90221898,-3.96817243,0.32128273,-12.35102935,4.81E-35,2.99E-32
AT3G11410,213.439268,3.149888407,0.255444499,12.33100898,6.17E-35,3.71E-32
AT1G37130,102.8386169,-2.918227027,0.240229559,-12.14766007,5.90E-34,3.44E-31
AT2G42530,1684.03835,8.22666395,0.681550571,12.07051142,1.51E-33,8.53E-31
AT1G03870,50.04668002,-3.793570245,0.314879742,-12.04767959,1.99E-33,1.09E-30
AT4G36850,40.56445032,-5.150261667,0.42812223,-12.02988611,2.48E-33,1.31E-30
AT1G78680,166.6865953,2.576918757,0.215529388,11.95622918,6.02E-33,3.11E-30
AT1G19570,918.7384246,1.968861175,0.165401046,11.90355937,1.13E-32,5.69E-30
AT4G08950,47.71797448,-4.108913367,0.345914027,-11.87842368,1.53E-32,7.48E-30
AT1G80920,309.014805,-2.163868579,0.182277608,-11.87128034,1.67E-32,7.73E-30
AT5G49360,72.91714951,-3.830884282,0.322685838,-11.87186989,1.66E-32,7.73E-30
AT4G30650,514.6579298,4.306962719,0.364485199,11.8165641,3.21E-32,1.45E-29
AT5G03210,310.5886483,6.806483315,0.578463493,11.76648724,5.81E-32,2.56E-29
AT2G38310,42.88673456,-3.838171279,0.326716855,-11.74769902,7.26E-32,3.12E-29
AT1G73480,85.05507722,3.338312347,0.285096444,11.7094142,1.14E-31,4.79E-29
AT1G20450,1591.422449,3.30664876,0.282612415,11.70029549,1.27E-31,5.21E-29
AT4G27450,49.88021529,-4.264235382,0.365318332,-11.67265644,1.76E-31,7.05E-29
AT3G25770,456.3143352,3.176918678,0.273299707,11.62430325,3.10E-31,1.22E-28
AT4G39330,257.2058822,1.829470925,0.158134203,11.56910326,5.91E-31,2.27E-28
AT5G19120,41.5125766,-4.228744908,0.374576403,-11.28940552,1.48E-29,5.57E-27
AT2G17840,174.3483145,2.474571998,0.219831647,11.25666861,2.15E-29,7.91E-27
AT3G48360,37.6430457,-4.478965148,0.399206598,-11.21966713,3.26E-29,1.18E-26
AT1G76790,104.25994,2.844375551,0.255259768,11.14306252,7.74E-29,2.74E-26
AT1G26770,81.26987391,3.388712584,0.30509898,11.10692859,1.16E-28,4.03E-26
AT1G52690,853.0944714,5.411884673,0.492715517,10.98379185,4.57E-28,1.56E-25
AT2G19800,39.84776929,-3.719420673,0.344206735,-10.80577541,3.23E-27,1.08E-24
AT5G24780,257.238261,4.170563585,0.389162518,10.71676585,8.49E-27,2.74E-24
AT4G11600,278.4568613,1.773248345,0.165441336,10.7182908,8.35E-27,2.74E-24
AT2G20570,75.55894303,2.362338299,0.223819652,10.55465095,4.83E-26,1.53E-23
AT1G19670,68.44734401,3.675000112,0.349456522,10.51633003,7.26E-26,2.26E-23
AT1G29395,366.7652533,4.086536815,0.390180642,10.47344838,1.14E-25,3.49E-23
AT2G38750,54.02723398,3.018900596,0.288282989,10.47200393,1.16E-25,3.49E-23
AT3G57010,127.6414236,3.579730264,0.342259189,10.45912096,1.33E-25,3.94E-23
AT3G26290,95.0161535,2.909406493,0.278264214,10.45555392,1.38E-25,4.02E-23
AT5G17460,166.3031486,4.284874423,0.41405593,10.34854016,4.25E-25,1.22E-22
AT1G80180,79.70783284,-2.730878894,0.265738171,-10.27657744,8.99E-25,2.53E-22
AT1G16850,292.7058523,4.613157588,0.449114262,10.27167912,9.45E-25,2.63E-22
AT5G06760,684.8917931,6.752763381,0.661111144,10.21426343,1.71E-24,4.68E-22
AT5G08640,81.78430288,2.891141211,0.284902962,10.14781029,3.39E-24,9.13E-22
AT1G10760,206.5613005,3.381813713,0.333700143,10.13428907,3.89E-24,1.03E-21
AT5G22920,33.92609131,-3.737878394,0.369499924,-10.11604644,4.69E-24,1.23E-21
AT1G43160,53.82532134,4.179137324,0.414039806,10.0935641,5.90E-24,1.52E-21
AT3G44860,48.80934082,5.516291943,0.55492614,9.94058766,2.77E-23,7.05E-21
AT4G35770,86.21069474,-2.98891533,0.301228498,-9.922418858,3.33E-23,8.34E-21
AT3G25760,127.3381514,2.511412135,0.253229191,9.917545932,3.49E-23,8.64E-21
AT5G14120,34.83730169,-3.355066932,0.338560713,-9.909794016,3.77E-23,9.21E-21
AT2G43530,79.86034681,2.241718144,0.226646058,9.89083225,4.56E-23,1.10E-20
AT5G61590,54.08335939,-4.567620205,0.462136639,-9.883700672,4.90E-23,1.16E-20
AT2G40000,87.50365699,-3.110792803,0.315335289,-9.865032268,5.90E-23,1.38E-20
AT2G41100,150.3014407,-2.444563372,0.248358801,-9.842869922,7.36E-23,1.70E-20
AT2G46330,91.74317897,-2.23908052,0.227572812,-9.838963177,7.65E-23,1.75E-20
AT1G19770,53.1328641,-2.719221166,0.281036827,-9.675675599,3.83E-22,8.63E-20
AT4G27560,84.62809308,4.174643273,0.433835581,9.6226392,6.42E-22,1.43E-19
AT1G78070,82.43283977,2.66895392,0.278955,9.567686242,1.09E-21,2.41E-19
AT3G22840,168.8508899,2.600881169,0.272859176,9.53195421,1.54E-21,3.36E-19
AT2G40840,92.53102271,2.254195827,0.237133431,9.506022914,1.98E-21,4.26E-19
AT1G20440,2119.45836,2.451400765,0.258912053,9.468082852,2.85E-21,6.03E-19
AT1G48100,50.66085352,4.893253585,0.516858896,9.467291024,2.87E-21,6.03E-19
AT1G72430,42.67782467,-3.335250463,0.352484871,-9.462109558,3.02E-21,6.26E-19
AT2G43550,87.76232478,2.536374623,0.268134625,9.459332698,3.10E-21,6.36E-19
AT3G55120,114.6280915,2.36090733,0.250326953,9.431294949,4.05E-21,8.22E-19
AT5G19190,43.53128349,-3.055188058,0.325712128,-9.380025467,6.60E-21,1.32E-18
AT3G29575,139.3022264,3.47658037,0.371740055,9.35218125,8.59E-21,1.70E-18
AT4G04020,419.3774837,1.373404188,0.148008114,9.279249271,1.71E-20,3.35E-18
AT1G68840,28.3048738,-3.572964476,0.386822842,-9.236694664,2.54E-20,4.94E-18
AT5G43150,157.0083306,2.171520831,0.235166899,9.233956141,2.61E-20,5.01E-18
AT1G77450,88.8515305,3.200927977,0.347843461,9.202208287,3.51E-20,6.66E-18
AT3G30775,52.55700183,-2.067033177,0.22746311,-9.087333685,1.01E-19,1.91E-17
AT5G59480,75.30533822,2.175829418,0.241294775,9.017308453,1.93E-19,3.59E-17
AT5G63160,66.93567406,-2.04096646,0.226829626,-8.997794939,2.30E-19,4.24E-17
AT3G44310,467.1778905,1.19843837,0.133324875,8.988857983,2.50E-19,4.56E-17
AT4G02380,292.4429414,-1.948188992,0.217173858,-8.970642291,2.95E-19,5.32E-17
AT5G48880,63.61318046,3.622845738,0.404418099,8.958169154,3.30E-19,5.90E-17
AT1G17940,88.15249501,4.042187196,0.451450185,8.953783451,3.44E-19,6.08E-17
AT5G05270,113.492625,1.928963823,0.216508862,8.909398938,5.13E-19,8.99E-17
AT3G05640,107.0549881,4.881712732,0.548826007,8.894827636,5.85E-19,1.02E-16
AT4G34230,137.5822182,2.416465258,0.271832744,8.889529732,6.14E-19,1.06E-16
AT5G66400,1554.915304,3.763221178,0.424555057,8.863917929,7.73E-19,1.32E-16
AT2G29450,222.8309847,1.913335068,0.216781679,8.826092132,1.08E-18,1.83E-16
AT1G77760,54.08067668,-2.469680495,0.279932057,-8.822428261,1.12E-18,1.87E-16
AT3G48460,50.84869966,2.758880202,0.312803494,8.819850974,1.15E-18,1.90E-16
AT2G16060,22.6937231,-3.499019239,0.398238727,-8.786235497,1.55E-18,2.54E-16
AT4G39210,88.42308146,3.964682487,0.453072384,8.750660217,2.12E-18,3.45E-16
AT2G31360,106.8656323,1.671981224,0.191432713,8.734041319,2.46E-18,3.96E-16
AT1G69260,113.4488476,3.664080829,0.419692417,8.730395587,2.54E-18,4.05E-16
AT4G00430,272.0931325,1.282325763,0.147125816,8.715844669,2.89E-18,4.57E-16
AT1G67360,104.7693941,2.165474542,0.249916649,8.664787051,4.52E-18,7.10E-16
