GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G02470,4.867651102,2.397809221,0.948506941,2.527982788,0.011471998,0.058368883
AT4G18520,7.965396448,1.599438053,0.632700966,2.527952601,0.011472984,0.058368883
AT5G45650,11.77027707,-1.418365609,0.561647857,-2.52536459,0.011557831,0.058753087
AT3G10120,5.796687586,-1.738553033,0.688494288,-2.525152443,0.011564811,0.058772756
AT3G03850,1.563605969,-4.257757244,1.686314236,-2.524889581,0.011573465,0.058800918
AT1G71910,4.536548185,2.349062373,0.930400234,2.524786954,0.011576845,0.05880228
AT1G75780,16.07578599,-1.176761532,0.46656099,-2.522203006,0.011662238,0.059164901
AT2G43240,12.00087347,1.287773728,0.510585074,2.522153104,0.011663893,0.059164901
AT1G71240,10.69267909,1.331933378,0.528152413,2.521873129,0.01167318,0.059196119
AT5G21930,12.30729484,-1.175337868,0.466113846,-2.521568234,0.011683301,0.059231548
AT3G10500,14.55313542,1.147361977,0.455147726,2.520856223,0.011706968,0.059319697
AT4G23990,7.555218096,2.204874711,0.874630052,2.520922653,0.011704758,0.059319697
AT4G38060,18.88867802,1.173506854,0.465656613,2.520112078,0.011731747,0.0594234
AT3G16330,10.2911198,1.55556831,0.617360339,2.519708851,0.011745194,0.059462236
AT5G66640,2.011551245,-3.292459864,1.307420664,-2.518286542,0.011792734,0.059635718
AT3G20340,9.97554548,1.341564745,0.53274088,2.518231276,0.011794585,0.059635718
AT2G28755,1.202866355,-4.763715535,1.894289172,-2.514777367,0.011910757,0.060142639
AT2G46810,6.663987049,-1.459946779,0.580642898,-2.514362589,0.011924776,0.060197341
AT3G15940,14.39520278,1.132679932,0.450523158,2.514143638,0.011932182,0.06020256
AT1G27680,14.04835703,1.161494957,0.462067099,2.513693267,0.01194743,0.060247313
AT3G04620,6.86379446,1.655323629,0.659020385,2.511794274,0.012011909,0.06054015
AT2G17680,1.709204528,3.744860526,1.491898584,2.510130759,0.012068646,0.060761277
AT4G23020,8.465886201,1.671076914,0.666056514,2.5089116,0.012110379,0.06093891
AT2G41200,10.9394049,1.3445137,0.536059637,2.50814202,0.012136788,0.061055538
AT1G72910,4.690625616,-1.863515854,0.743041716,-2.507955897,0.012143182,0.061071447
AT1G60680,10.45931897,1.2485901,0.497916376,2.507630115,0.012154382,0.06111151
AT5G24990,5.82528036,1.945522537,0.776124952,2.506713038,0.01218596,0.06120595
AT3G27170,6.556335817,-1.750566295,0.698352609,-2.50670832,0.012186123,0.06120595
AT5G50170,5.622036179,1.941461058,0.77458683,2.506447286,0.012195124,0.061234884
AT3G19960,11.860102,1.234668188,0.492735738,2.505741097,0.012219506,0.061292159
AT2G29070,9.597111896,1.394893168,0.556676342,2.50575256,0.01221911,0.061292159
AT5G47530,6.62471738,2.204901755,0.88018608,2.505040474,0.012243738,0.061369372
AT5G57120,34.95882974,-1.085257052,0.43323387,-2.505014332,0.012244643,0.061369372
AT5G66280,5.499838749,-1.586129212,0.633918686,-2.502102001,0.012345835,0.061794583
AT1G21110,11.92697982,-1.474196719,0.589762021,-2.49964675,0.01243172,0.062191514
AT1G11380,8.239801997,-1.380011319,0.552183193,-2.499191093,0.012447717,0.062255058
AT3G61100,9.050138935,-1.349731689,0.540502062,-2.49718139,0.01251849,0.062559343
AT1G15210,4.040970743,-1.922361887,0.770070701,-2.496344665,0.012548061,0.062690539
AT1G51780,4.488602224,3.551783086,1.424118832,2.494021571,0.012630487,0.063052325
AT5G18525,5.730573091,1.937405457,0.776799219,2.494087803,0.01262813,0.063052325
AT1G70250,2.616065804,-2.704304571,1.084893934,-2.492690286,0.012677938,0.063255779
AT3G25780,18.0538691,-1.040089268,0.417371831,-2.491996802,0.012702718,0.063362687
AT2G37520,8.772528258,1.465742656,0.588463636,2.490795637,0.012745741,0.06354374
AT2G37430,1.293679847,-4.139182737,1.662080141,-2.49036291,0.012761272,0.063604386
AT2G33550,6.317142165,-1.54703255,0.621778179,-2.488077908,0.012843559,0.063997641
AT5G51990,3.217633548,3.040526949,1.222235644,2.487676548,0.012858062,0.064019255
AT2G41260,1.156736394,-4.782895536,1.922563445,-2.487769934,0.012854686,0.064019255
AT2G21100,14.12286745,1.127764059,0.453668562,2.485876592,0.012923277,0.064287824
AT5G05340,1.76575467,3.7348712,1.502628748,2.485558197,0.012934844,0.064297344
AT4G01026,15.97700663,1.044644584,0.420702003,2.483098672,0.0130245,0.064677513
AT3G18710,5.097714603,-1.824603109,0.735223911,-2.481697185,0.013075834,0.064864239
AT5G24580,7.640428105,-1.406166982,0.567061902,-2.479741589,0.013147763,0.065135548
AT5G17210,8.44122242,1.509147631,0.60928899,2.476899561,0.013252919,0.065601122
AT5G65610,7.84534394,-1.328051931,0.536182691,-2.476864608,0.013254217,0.065601122
AT3G49550,6.575939706,1.735581001,0.700754137,2.476733149,0.013259099,0.065601122
AT2G40750,2.791796581,3.474067284,1.402641374,2.476803657,0.013256481,0.065601122
AT4G13150,17.53162244,1.042109697,0.421207216,2.474102194,0.013357148,0.06605164
AT4G03190,8.275628056,-1.275447034,0.515670048,-2.473378161,0.013384243,0.066168309
AT1G14920,12.64867162,-1.191916632,0.482198252,-2.471839391,0.013441989,0.066436407
AT3G06435,1.876254085,-3.291368264,1.331872671,-2.471233427,0.01346479,0.066514301
AT5G41790,22.61117957,-1.311006599,0.530632879,-2.470647129,0.013486883,0.066606024
AT1G44100,11.14279654,-1.183304056,0.479082861,-2.469936109,0.013513719,0.066721116
AT4G24660,9.380809878,-1.284091068,0.519962603,-2.469583506,0.013527044,0.066734596
AT3G53040,1.833872735,3.745191943,1.516672199,2.469348318,0.013535939,0.066761046
AT3G19150,7.066168435,-1.475821293,0.597737019,-2.469014378,0.013548577,0.066805942
AT1G63720,10.03314596,1.363350171,0.552312462,2.468439993,0.01357034,0.066878346
AT4G25230,16.97844804,1.026235345,0.415876517,2.467644367,0.013600537,0.066992216
AT4G12680,5.516074856,1.937283747,0.785551837,2.466143743,0.013657651,0.067256013
AT1G50460,5.605743136,-1.57858269,0.640126067,-2.466049693,0.013661238,0.067256147
AT1G64380,8.892158159,1.508282403,0.611692915,2.465750978,0.013672635,0.067277198
AT1G03457,3.141470314,-2.116867492,0.858628762,-2.465404826,0.013685853,0.067324704
AT2G42760,8.044294838,-1.56210467,0.633990213,-2.463925528,0.013742466,0.067568019
AT4G34900,6.441502801,1.934119107,0.785187379,2.463258018,0.01376808,0.067676344
AT1G72880,10.88670058,-1.149329528,0.46664477,-2.462964555,0.013779354,0.067696539
AT2G32990,17.97213295,1.102415412,0.447753515,2.462103312,0.013812487,0.067824051
AT4G22990,8.332618426,1.615741038,0.656461604,2.461287954,0.013843921,0.067960737
AT4G30320,2.292893417,-2.631998061,1.069718037,-2.460459644,0.013875918,0.068082437
AT5G55930,5.167225736,-1.700066617,0.691139824,-2.459801272,0.013901397,0.068172046
AT4G15393,2.221731261,-2.788170005,1.133492209,-2.459805178,0.013901245,0.068172046
AT4G40065,4.493217032,2.08177733,0.84789305,2.45523575,0.014079222,0.069026181
AT1G80820,12.94755917,1.291328038,0.526188585,2.454116403,0.014123126,0.069223465
AT5G49560,3.171157102,-2.435509576,0.993004587,-2.452666995,0.014180154,0.069466947
AT3G45700,1.090303416,-4.141928849,1.690473456,-2.450159057,0.014279312,0.069916456
AT3G59930,5.155921661,-1.872675746,0.764588821,-2.449258601,0.014315063,0.070073346
AT2G19670,8.289986983,-1.335531463,0.54532807,-2.449042214,0.014323666,0.070097298
AT5G22850,14.33781409,1.157800683,0.472906768,2.448264144,0.014354638,0.070200255
AT5G01620,5.205979456,-1.615029945,0.659739628,-2.447980803,0.014365931,0.070220957
AT2G15128,13.30378234,-1.464031449,0.598066466,-2.447941045,0.014367516,0.070220957
AT3G26230,3.149664068,-2.116929145,0.865858376,-2.444890763,0.014489602,0.070762738
AT1G49500,77.70925529,-1.057896656,0.433056903,-2.442858313,0.014571457,0.071107354
AT1G30750,6.90944267,-1.496305504,0.612703973,-2.44213449,0.014600706,0.071231692
AT1G12560,3.263995633,-2.116475393,0.867001051,-2.441145131,0.01464077,0.07140871
AT1G79610,11.55385461,1.251158926,0.512640943,2.440614513,0.014662297,0.07149525
AT5G44417,4.457023054,2.087515752,0.85538204,2.440448425,0.01466904,0.07150968
AT5G63560,14.75567341,1.093535116,0.449005286,2.435461566,0.014872805,0.072390943
AT3G13650,22.62397227,1.093779868,0.449237746,2.43474614,0.014902241,0.072499933
AT5G40960,6.450950997,1.667924755,0.685359533,2.433649309,0.014947469,0.072660775
AT1G56170,18.74516265,1.030258356,0.423408783,2.433247486,0.014964069,0.072722758
AT2G39710,8.685782963,1.692453087,0.695759412,2.432526326,0.014993901,0.072849002
AT1G71110,7.232604744,1.613808849,0.66397167,2.430538714,0.015076395,0.073174541
AT5G08030,1.279516828,-3.968861169,1.633463734,-2.429721019,0.015110449,0.073302164
AT2G48060,5.50155751,1.882880027,0.77507766,2.429279187,0.015128877,0.073372725
AT1G56680,1.490197102,-3.812623565,1.569799632,-2.428732615,0.015151702,0.073446934
AT4G29210,17.21552239,1.010215404,0.41594447,2.428726615,0.015151953,0.073446934
AT4G00680,4.414547672,-1.800953626,0.741612521,-2.428429369,0.015164379,0.07346947
AT4G11521,3.169835118,-2.362248688,0.972898772,-2.428051876,0.015180172,0.07350829
AT3G24982,3.436735627,2.978873461,1.227199974,2.427374122,0.015208564,0.073626904
AT3G09580,9.967608744,-1.142610954,0.471782223,-2.421903366,0.015439456,0.074608037
AT5G39020,1.490108182,-3.715982357,1.535658909,-2.419796697,0.015529186,0.074986961
AT4G11350,3.724792581,2.882825358,1.191726162,2.419033373,0.015561812,0.075106116
AT1G68610,1.63887625,3.741950659,1.547236238,2.41847403,0.015585758,0.075202477
AT1G60890,8.300738367,1.427380917,0.59074012,2.416258636,0.015680919,0.075584428
AT5G22250,6.070853971,-1.62730087,0.673843329,-2.414954336,0.015737183,0.07582395
AT1G58100,11.66214697,-1.074095643,0.445037962,-2.413492186,0.015800467,0.076063648
AT5G59090,7.276293601,-1.430900507,0.592921555,-2.41330492,0.015808588,0.07608336
AT1G49730,6.704562537,-1.42202803,0.589475161,-2.412362936,0.015849495,0.076260814
AT4G24240,11.36060194,-1.028287269,0.426378047,-2.411679672,0.015879226,0.076384412
AT4G11370,4.957207274,2.201226268,0.912979208,2.41103658,0.015907253,0.076460835
AT4G10150,1.565759766,-3.711698223,1.539571473,-2.410864509,0.015914759,0.076477462
AT5G23950,4.873652105,2.023735442,0.839944928,2.40936682,0.015980227,0.076733518
AT1G54260,11.91435398,1.201995226,0.499407579,2.40684218,0.016091122,0.077148376
AT2G28110,4.262725395,-1.752839482,0.728388546,-2.40646217,0.016107872,0.077209093
AT3G06020,2.697820272,-2.432907786,1.011823561,-2.404478291,0.016195568,0.077590076
AT5G19340,9.553793907,-1.167590663,0.48589044,-2.402991633,0.016261559,0.077807588
AT1G62810,13.66433451,1.085490724,0.45174825,2.40286647,0.016267126,0.077814519
AT2G29090,7.081971674,1.819771734,0.757487559,2.40237838,0.01628885,0.077898714
AT5G06730,5.108448639,2.021426976,0.841535107,2.402070881,0.016302549,0.077944501
AT5G57540,1.812443395,-3.279647083,1.367826347,-2.397707202,0.016498047,0.078759626
AT1G60260,22.05985246,1.13676614,0.474410183,2.396167245,0.016567529,0.079071346
AT4G37970,3.907637238,2.467945629,1.030054944,2.39593591,0.016577989,0.079101287
AT3G50380,5.787820605,1.878683361,0.78424807,2.395521815,0.016596727,0.079170701
AT5G59050,7.081864781,1.720697865,0.718519903,2.394781073,0.016630292,0.079250785
AT4G35510,15.69457064,1.032838551,0.431283391,2.39480252,0.016629319,0.079250785
AT4G37010,7.251154297,-1.365463639,0.570142939,-2.394949662,0.016622647,0.079250785
AT3G16980,3.918932974,2.466438877,1.030356559,2.393772189,0.016676103,0.079409013
AT5G14960,4.113189409,2.465099853,1.030782756,2.391483403,0.016780443,0.079845496
AT3G52480,3.624999063,-1.954081675,0.81706964,-2.391572981,0.016776348,0.079845496
AT3G09950,2.644480649,3.372919072,1.410598462,2.391126293,0.016796774,0.079903082
AT5G28830,13.87493126,1.095732849,0.458438814,2.390139786,0.016841961,0.080057574
AT3G24020,9.635840864,-1.205615965,0.504403704,-2.390180635,0.016840088,0.080057574
AT1G31310,1.818038369,-3.128220729,1.308967602,-2.389838163,0.016855798,0.080103197
AT5G26290,16.54367745,1.236636006,0.518118004,2.38678447,0.016996452,0.080690444
AT1G02300,15.76724293,1.245621076,0.522641385,2.383318873,0.017157325,0.081392835
AT3G06390,5.54005254,-1.543583983,0.647806024,-2.382787326,0.017182118,0.081458269
AT3G26100,27.95182774,1.116866365,0.468725764,2.382771443,0.017182859,0.081458269
AT3G61750,13.86511094,1.188112235,0.498938902,2.38127801,0.017252686,0.081722111
AT2G47950,5.457221733,1.953996732,0.820547697,2.381332296,0.017250143,0.081722111
AT5G63410,6.571647922,-1.461579429,0.613835887,-2.381058943,0.017262949,0.081750233
AT1G28820,2.23551625,3.493949502,1.467492314,2.380897991,0.017270494,0.081765467
AT1G06780,12.69200698,1.129453627,0.474487389,2.380365957,0.017295452,0.081863118
AT5G18830,14.27792385,1.044285726,0.438788331,2.379930487,0.017315904,0.081939396
AT3G47710,2.492552883,-2.477588621,1.043901551,-2.373392988,0.0176255,0.083279274
AT5G36890,13.08930063,1.105462853,0.465971924,2.372380818,0.017673864,0.083486915
AT1G54710,12.45167377,1.169674992,0.493364977,2.37081075,0.017749117,0.083821434
AT3G50270,9.055415089,-1.347284834,0.568317069,-2.370656993,0.017756501,0.083835355
AT1G50940,14.79478839,1.075384159,0.453856112,2.369438531,0.017815116,0.084063715
AT5G14730,1.808769124,-3.217428439,1.360454046,-2.364966643,0.018031695,0.085007205
AT5G64560,12.01151,1.183682427,0.500915278,2.363039176,0.018125753,0.085365431
AT5G13320,3.33651396,2.876536635,1.217398689,2.362855045,0.018134761,0.085386572
AT1G24996,19.17047969,-1.36162263,0.576636101,-2.361320472,0.018209987,0.085652937
AT3G50070,6.899719557,-1.437461978,0.608936835,-2.360609335,0.018244939,0.085764556
AT2G39510,4.813108947,-1.660940815,0.703868879,-2.359730435,0.018288219,0.0859378
AT3G17580,1.757568428,-3.280864336,1.390740693,-2.359076966,0.018320456,0.086046485
AT4G10265,1.756797074,-4.648885337,1.971211201,-2.35839028,0.018354385,0.086163006
AT3G48310,10.27439624,-1.217734756,0.516398501,-2.358129921,0.018367263,0.086180641
AT2G32290,6.255592527,1.821773972,0.772541505,2.35815676,0.018365935,0.086180641
AT2G32800,19.18319482,1.161263187,0.492666657,2.357097178,0.018418426,0.086377802
AT1G16310,6.007804461,1.688240788,0.716517171,2.356176317,0.018464151,0.086535633
AT4G38350,19.57976905,1.026474284,0.435829061,2.355222212,0.018511632,0.086702828
AT1G04550,8.420209067,-1.281786774,0.544295803,-2.354945172,0.018525439,0.086728981
AT1G15415,1.696580214,3.543066964,1.505360882,2.353632944,0.018590959,0.086931781
AT1G27461,1.428154959,3.745998502,1.591522588,2.353719972,0.018586607,0.086931781
AT2G35910,1.743928198,-3.214360142,1.365710855,-2.353616895,0.018591761,0.086931781
AT4G24450,4.616380262,2.263322021,0.961607108,2.353686866,0.018588262,0.086931781
AT5G26080,1.817593496,-3.201760542,1.360754565,-2.352930223,0.018626129,0.087051926
AT3G63010,14.19122254,1.075793023,0.457306175,2.352456803,0.018649856,0.08713873
AT5G01040,7.952877559,-1.246521493,0.530151095,-2.351257039,0.018710104,0.08739862
AT2G23620,1.799865551,-3.468500516,1.476474246,-2.349177797,0.01881492,0.087823102
AT4G15120,7.900888513,1.633292868,0.695978083,2.346759054,0.018937497,0.08826443
AT1G69270,10.98934344,1.192613831,0.508402679,2.345805562,0.018986009,0.088468715
AT2G34090,9.666301549,1.42542921,0.607731721,2.345490881,0.019002043,0.0885216
AT1G56660,29.58626654,-1.579767367,0.673603514,-2.345248109,0.019014422,0.088557432
AT3G46080,1.61840122,-3.823229184,1.630706055,-2.344523816,0.019051394,0.088693702
AT2G34660,16.40222956,1.007701097,0.429857433,2.344268169,0.019064458,0.088724863
AT2G16367,5.441659087,3.317838409,1.415480062,2.343966897,0.019079865,0.088752842
AT5G10230,10.45790952,1.287240098,0.549219186,2.343763894,0.019090252,0.088770185
AT3G25882,5.809455704,1.822667128,0.778104756,2.342444399,0.019157888,0.089028111
AT5G55960,14.29179983,1.097849012,0.469119448,2.340233423,0.019271691,0.089534939
AT5G10080,7.349454968,1.510873693,0.645817122,2.339476057,0.019310809,0.089672583
AT4G01580,7.519042006,-1.271223901,0.543428087,-2.339267936,0.019321571,0.089700512
AT5G11160,4.723328245,-1.841954665,0.787799591,-2.338100559,0.019382032,0.089914927
AT2G44840,3.141759394,-2.861035147,1.224073139,-2.337307352,0.019423209,0.090010889
AT4G15975,2.026615788,-3.211473414,1.374059866,-2.337215061,0.019428004,0.090010889
AT5G18040,10.16286545,1.359926041,0.582436824,2.334890214,0.019549157,0.090490278
AT4G23880,10.21667407,1.345597728,0.576469654,2.334203923,0.019585047,0.090612012
AT2G22850,3.312676203,-2.053798096,0.880329833,-2.332987046,0.019648825,0.09084036
AT2G44280,4.978274774,2.013917372,0.863413766,2.332505517,0.019674113,0.09092491
AT1G52290,4.680840595,-1.703706885,0.73056061,-2.332054125,0.019697844,0.090977942
AT4G26150,3.268252553,-1.99027939,0.853545129,-2.331779916,0.019712272,0.091022332
