GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G05800,25.10221141,3.058515534,0.447306029,6.837635389,8.05E-12,3.77E-10
AT5G59480,75.30533822,1.689792472,0.247155756,6.836953752,8.09E-12,3.77E-10
AT1G76180,959.184464,2.027349721,0.297131628,6.823069402,8.91E-12,4.14E-10
AT1G62710,27.2272004,3.306885026,0.484856143,6.82034264,9.08E-12,4.21E-10
AT5G42900,69.14004105,8.127131211,1.194618727,6.803117201,1.02E-11,4.73E-10
AT1G30360,213.6653294,1.460844022,0.215031138,6.793639451,1.09E-11,5.03E-10
AT3G08510,112.6273304,1.548980377,0.228339868,6.783661519,1.17E-11,5.35E-10
AT1G11210,36.05720094,5.85365089,0.867389781,6.748581803,1.49E-11,6.78E-10
AT1G22770,25.59113711,3.059160943,0.453528905,6.745239196,1.53E-11,6.92E-10
AT4G33700,42.68493637,2.558474039,0.37985257,6.735439594,1.63E-11,7.39E-10
AT2G29460,32.31990998,4.36167678,0.647818033,6.73287337,1.66E-11,7.50E-10
AT1G20696,243.7282799,1.242862495,0.184994262,6.718384032,1.84E-11,8.23E-10
AT4G15210,77.69688928,7.243331518,1.078724267,6.714720097,1.88E-11,8.40E-10
AT4G08870,216.4680774,2.690394645,0.401535164,6.700271573,2.08E-11,9.23E-10
AT5G27930,29.64621352,2.879788477,0.431188845,6.678717483,2.41E-11,1.06E-09
AT4G33905,60.65734352,8.063320854,1.209290625,6.667810606,2.60E-11,1.14E-09
AT1G07900,41.80494509,5.062012856,0.759496806,6.664956085,2.65E-11,1.16E-09
AT5G66780,55.9647719,8.013642625,1.20620662,6.643673223,3.06E-11,1.33E-09
AT3G49220,118.0303001,1.599025193,0.240892505,6.637920078,3.18E-11,1.38E-09
AT3G05880,657.8507802,3.862248691,0.581940362,6.636846215,3.20E-11,1.39E-09
AT3G44880,98.64331535,1.861305929,0.28047404,6.636285932,3.22E-11,1.39E-09
AT1G29390,67.91809253,2.120472863,0.319543814,6.635937774,3.22E-11,1.39E-09
AT1G68050,29.18341008,7.976175368,1.202679184,6.632005834,3.31E-11,1.43E-09
AT1G08550,63.0220396,1.627991212,0.245865451,6.621472056,3.56E-11,1.52E-09
AT1G68570,43.8809541,2.342949084,0.354372759,6.611538353,3.80E-11,1.61E-09
AT5G15190,33.25802124,4.245012296,0.642668407,6.605291704,3.97E-11,1.68E-09
AT5G51820,81.48758512,1.649287334,0.250274446,6.589915032,4.40E-11,1.84E-09
AT1G08890,29.00735128,3.078905104,0.467533984,6.585414559,4.54E-11,1.89E-09
AT1G75900,30.62183507,2.785875954,0.423218919,6.58258841,4.62E-11,1.92E-09
AT5G26220,26.26434148,3.295271433,0.501753646,6.567508693,5.12E-11,2.12E-09
AT4G12290,31.214258,4.194607905,0.641446059,6.539299514,6.18E-11,2.52E-09
AT4G25480,20.08507336,7.941199984,1.215153841,6.535139597,6.36E-11,2.59E-09
AT1G49450,50.07269088,5.813832461,0.890130814,6.531436018,6.51E-11,2.64E-09
AT5G48250,30.20636881,4.167360366,0.638342015,6.528413086,6.65E-11,2.68E-09
AT3G56260,30.89157996,3.974711674,0.610951881,6.505768783,7.73E-11,3.10E-09
AT1G47710,41.91951937,2.046219482,0.316195299,6.47137857,9.71E-11,3.87E-09
AT2G34810,48.38163374,3.584934429,0.554000371,6.470996442,9.74E-11,3.87E-09
AT5G47330,32.47414002,4.932075576,0.76332661,6.461291288,1.04E-10,4.10E-09
AT3G44100,161.9688282,1.052859065,0.163008128,6.458935993,1.05E-10,4.15E-09
AT2G23000,27.59305388,2.720105527,0.421298775,6.456476234,1.07E-10,4.21E-09
AT2G45560,22.42423487,3.063157901,0.47475399,6.45209512,1.10E-10,4.32E-09
AT5G17050,46.24372589,1.989988801,0.308504092,6.450445397,1.12E-10,4.36E-09
AT4G24220,172.7969926,1.144003452,0.177360524,6.450158266,1.12E-10,4.36E-09
AT1G16515,33.12034098,3.890720667,0.604476026,6.436517743,1.22E-10,4.75E-09
AT4G19390,48.09380112,3.206721809,0.49909337,6.425093981,1.32E-10,5.11E-09
AT3G57540,28.61581976,3.012094207,0.469080982,6.421266952,1.35E-10,5.23E-09
AT1G69252,105.7475512,1.722636776,0.269139097,6.400544537,1.55E-10,5.95E-09
AT2G38465,37.95228068,4.468320863,0.698594947,6.396153995,1.59E-10,6.09E-09
AT5G03240,363.0844847,1.117543932,0.174870807,6.390683219,1.65E-10,6.30E-09
AT5G67480,63.09251143,1.736937602,0.271893872,6.388292566,1.68E-10,6.39E-09
AT5G05220,71.66780716,7.714128985,1.207969002,6.386032234,1.70E-10,6.47E-09
AT5G12140,243.4682605,1.144824955,0.17964899,6.372565488,1.86E-10,7.02E-09
AT4G38580,45.27309468,1.906820727,0.299407009,6.368657603,1.91E-10,7.18E-09
AT1G57590,30.65481348,3.31988076,0.521687106,6.363739339,1.97E-10,7.40E-09
AT1G20070,35.19260046,2.973561451,0.469123698,6.338544531,2.32E-10,8.63E-09
AT1G63010,43.15198869,2.293444843,0.362626911,6.324530186,2.54E-10,9.39E-09
AT3G28007,65.71370341,6.566604226,1.039839704,6.315015865,2.70E-10,9.95E-09
AT5G47550,88.36851211,1.453976562,0.230389802,6.31094151,2.77E-10,1.02E-08
AT5G03190,30.92234185,2.728244292,0.432707193,6.305058799,2.88E-10,1.05E-08
AT1G07430,69.99785183,7.950631937,1.261322833,6.303407603,2.91E-10,1.06E-08
AT4G21215,25.48312183,2.919174109,0.464110255,6.289828928,3.18E-10,1.16E-08
AT5G16010,147.074474,1.17674148,0.187112072,6.288966117,3.20E-10,1.16E-08
AT4G17470,25.47702221,4.922081832,0.784801524,6.271753659,3.57E-10,1.29E-08
AT5G62360,22.12616494,4.284233313,0.683876058,6.264634163,3.74E-10,1.34E-08
AT1G53580,101.8270387,1.529732333,0.244998361,6.243847209,4.27E-10,1.53E-08
AT3G52740,45.98077853,2.008640533,0.323558105,6.207974718,5.37E-10,1.91E-08
AT3G22830,83.91545293,7.56136695,1.218531172,6.205312692,5.46E-10,1.94E-08
AT1G23190,101.3594829,1.230582763,0.19878662,6.190470785,6.00E-10,2.12E-08
AT5G37360,133.9513114,1.755560188,0.283626612,6.189687828,6.03E-10,2.13E-08
AT2G35060,35.30166197,1.94377525,0.314065877,6.189068574,6.05E-10,2.13E-08
AT2G33590,68.8001338,1.471286675,0.237919167,6.183977068,6.25E-10,2.20E-08
AT3G08860,33.21837348,2.398984838,0.388919142,6.168338302,6.90E-10,2.42E-08
AT5G41460,24.37194015,3.257907223,0.528227233,6.167624492,6.93E-10,2.43E-08
AT5G23575,41.97997398,1.965062701,0.318707553,6.165723667,7.02E-10,2.45E-08
AT5G63810,31.57043395,2.283857054,0.370751369,6.160077198,7.27E-10,2.53E-08
AT1G24020,94.18139709,1.233196417,0.200239842,6.158596633,7.34E-10,2.55E-08
AT1G79970,61.64980253,1.496447013,0.243198372,6.153195031,7.59E-10,2.64E-08
AT3G48510,30.20919615,4.310157009,0.700992008,6.148653562,7.81E-10,2.70E-08
AT1G05100,37.78277983,5.406209735,0.881510453,6.13289351,8.63E-10,2.96E-08
AT3G27300,41.18618182,1.96493461,0.320526029,6.130343343,8.77E-10,3.00E-08
AT5G24470,24.99655082,6.43439047,1.050801374,6.123317524,9.16E-10,3.13E-08
AT1G18360,28.31376379,2.306688335,0.376952816,6.119302566,9.40E-10,3.20E-08
AT2G39250,28.13842226,2.614043348,0.427562992,6.113820409,9.73E-10,3.31E-08
AT5G17760,34.27281147,2.505756988,0.410626008,6.102285138,1.05E-09,3.53E-08
AT1G21400,79.96934923,1.371228375,0.224733271,6.101581527,1.05E-09,3.54E-08
AT3G17110,28.95968675,4.093722695,0.671506915,6.096322467,1.09E-09,3.65E-08
AT4G21910,36.36923448,2.585384807,0.424132053,6.0957072,1.09E-09,3.66E-08
AT4G28140,26.94782589,7.462482383,1.226538303,6.084182097,1.17E-09,3.92E-08
AT2G31040,121.7624931,1.663587955,0.27417906,6.067523744,1.30E-09,4.34E-08
AT5G43850,142.6054151,1.003233552,0.165483311,6.062445475,1.34E-09,4.48E-08
