GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G52310,1265.106378,6.858920131,0.344572688,19.90558269,3.64E-88,6.57E-84
AT5G15970,2041.923444,4.141158398,0.211153475,19.61207785,1.22E-85,1.10E-81
AT2G15970,1727.773752,3.139534815,0.162486017,19.32187692,3.52E-83,2.12E-79
AT1G01470,1112.094871,3.023121206,0.160437656,18.84296538,3.36E-79,1.51E-75
AT2G42540,3293.986126,7.524542224,0.413579382,18.19370732,5.79E-74,2.09E-70
AT1G13930,1611.317637,2.42261996,0.149773562,16.17521766,7.54E-59,2.27E-55
AT2G33380,783.6942922,6.988813002,0.442862387,15.78100379,4.20E-56,9.49E-53
AT4G23600,349.2549033,5.314359379,0.341133182,15.57854719,1.02E-54,2.04E-51
AT5G15960,2209.761063,4.375377404,0.284113769,15.40008926,1.63E-53,2.95E-50
AT4G24960,201.0438415,3.64416843,0.240665774,15.14203024,8.55E-52,1.40E-48
AT1G10370,135.3983581,2.773851961,0.186644078,14.86171966,5.84E-50,8.79E-47
AT5G25610,832.2872698,2.909790179,0.196279693,14.82471332,1.01E-49,1.41E-46
AT3G50970,1143.31144,3.934966088,0.26962103,14.59443311,3.05E-48,3.93E-45
AT1G62570,326.5161418,4.158443515,0.290018282,14.3385565,1.26E-46,1.51E-43
AT5G61820,244.6329074,2.647702188,0.18979625,13.95023446,3.14E-44,3.33E-41
AT5G24770,827.3108034,4.760072056,0.341424939,13.94178197,3.53E-44,3.54E-41
AT2G39800,711.5711223,3.911907474,0.283636864,13.79195717,2.85E-43,2.71E-40
AT3G23810,402.3523855,2.296440466,0.170257707,13.48802653,1.84E-41,1.66E-38
AT3G45140,601.3580704,4.463786543,0.338575028,13.18403952,1.08E-39,9.32E-37
AT4G27520,745.9523886,2.097630443,0.160753391,13.04874774,6.46E-39,5.30E-36
AT4G26080,200.2322931,3.220010324,0.256661782,12.54573354,4.20E-36,3.29E-33
AT4G23630,218.3972341,1.834584095,0.146365536,12.53426278,4.85E-36,3.65E-33
AT3G46970,155.4682915,3.829986234,0.307077965,12.47235776,1.06E-35,7.34E-33
AT1G73390,166.0414492,3.478112303,0.280234983,12.41141367,2.27E-35,1.52E-32
AT3G11410,213.439268,3.149888407,0.255444499,12.33100898,6.17E-35,3.71E-32
AT2G42530,1684.03835,8.22666395,0.681550571,12.07051142,1.51E-33,8.53E-31
AT1G78680,166.6865953,2.576918757,0.215529388,11.95622918,6.02E-33,3.11E-30
AT1G19570,918.7384246,1.968861175,0.165401046,11.90355937,1.13E-32,5.69E-30
AT4G30650,514.6579298,4.306962719,0.364485199,11.8165641,3.21E-32,1.45E-29
AT5G03210,310.5886483,6.806483315,0.578463493,11.76648724,5.81E-32,2.56E-29
AT1G73480,85.05507722,3.338312347,0.285096444,11.7094142,1.14E-31,4.79E-29
AT1G20450,1591.422449,3.30664876,0.282612415,11.70029549,1.27E-31,5.21E-29
AT3G25770,456.3143352,3.176918678,0.273299707,11.62430325,3.10E-31,1.22E-28
AT4G39330,257.2058822,1.829470925,0.158134203,11.56910326,5.91E-31,2.27E-28
AT2G17840,174.3483145,2.474571998,0.219831647,11.25666861,2.15E-29,7.91E-27
AT1G76790,104.25994,2.844375551,0.255259768,11.14306252,7.74E-29,2.74E-26
AT1G26770,81.26987391,3.388712584,0.30509898,11.10692859,1.16E-28,4.03E-26
AT1G52690,853.0944714,5.411884673,0.492715517,10.98379185,4.57E-28,1.56E-25
AT5G24780,257.238261,4.170563585,0.389162518,10.71676585,8.49E-27,2.74E-24
AT4G11600,278.4568613,1.773248345,0.165441336,10.7182908,8.35E-27,2.74E-24
AT2G20570,75.55894303,2.362338299,0.223819652,10.55465095,4.83E-26,1.53E-23
AT1G19670,68.44734401,3.675000112,0.349456522,10.51633003,7.26E-26,2.26E-23
AT1G29395,366.7652533,4.086536815,0.390180642,10.47344838,1.14E-25,3.49E-23
AT2G38750,54.02723398,3.018900596,0.288282989,10.47200393,1.16E-25,3.49E-23
AT3G57010,127.6414236,3.579730264,0.342259189,10.45912096,1.33E-25,3.94E-23
AT3G26290,95.0161535,2.909406493,0.278264214,10.45555392,1.38E-25,4.02E-23
AT5G17460,166.3031486,4.284874423,0.41405593,10.34854016,4.25E-25,1.22E-22
AT1G16850,292.7058523,4.613157588,0.449114262,10.27167912,9.45E-25,2.63E-22
AT5G06760,684.8917931,6.752763381,0.661111144,10.21426343,1.71E-24,4.68E-22
AT5G08640,81.78430288,2.891141211,0.284902962,10.14781029,3.39E-24,9.13E-22
AT1G10760,206.5613005,3.381813713,0.333700143,10.13428907,3.89E-24,1.03E-21
AT1G43160,53.82532134,4.179137324,0.414039806,10.0935641,5.90E-24,1.52E-21
AT3G44860,48.80934082,5.516291943,0.55492614,9.94058766,2.77E-23,7.05E-21
AT3G25760,127.3381514,2.511412135,0.253229191,9.917545932,3.49E-23,8.64E-21
AT2G43530,79.86034681,2.241718144,0.226646058,9.89083225,4.56E-23,1.10E-20
AT4G27560,84.62809308,4.174643273,0.433835581,9.6226392,6.42E-22,1.43E-19
AT1G78070,82.43283977,2.66895392,0.278955,9.567686242,1.09E-21,2.41E-19
AT3G22840,168.8508899,2.600881169,0.272859176,9.53195421,1.54E-21,3.36E-19
AT2G40840,92.53102271,2.254195827,0.237133431,9.506022914,1.98E-21,4.26E-19
AT1G20440,2119.45836,2.451400765,0.258912053,9.468082852,2.85E-21,6.03E-19
AT1G48100,50.66085352,4.893253585,0.516858896,9.467291024,2.87E-21,6.03E-19
AT2G43550,87.76232478,2.536374623,0.268134625,9.459332698,3.10E-21,6.36E-19
AT3G55120,114.6280915,2.36090733,0.250326953,9.431294949,4.05E-21,8.22E-19
AT3G29575,139.3022264,3.47658037,0.371740055,9.35218125,8.59E-21,1.70E-18
AT4G04020,419.3774837,1.373404188,0.148008114,9.279249271,1.71E-20,3.35E-18
AT5G43150,157.0083306,2.171520831,0.235166899,9.233956141,2.61E-20,5.01E-18
AT1G77450,88.8515305,3.200927977,0.347843461,9.202208287,3.51E-20,6.66E-18
AT5G59480,75.30533822,2.175829418,0.241294775,9.017308453,1.93E-19,3.59E-17
AT3G44310,467.1778905,1.19843837,0.133324875,8.988857983,2.50E-19,4.56E-17
AT5G48880,63.61318046,3.622845738,0.404418099,8.958169154,3.30E-19,5.90E-17
AT1G17940,88.15249501,4.042187196,0.451450185,8.953783451,3.44E-19,6.08E-17
AT5G05270,113.492625,1.928963823,0.216508862,8.909398938,5.13E-19,8.99E-17
AT3G05640,107.0549881,4.881712732,0.548826007,8.894827636,5.85E-19,1.02E-16
AT4G34230,137.5822182,2.416465258,0.271832744,8.889529732,6.14E-19,1.06E-16
AT5G66400,1554.915304,3.763221178,0.424555057,8.863917929,7.73E-19,1.32E-16
AT2G29450,222.8309847,1.913335068,0.216781679,8.826092132,1.08E-18,1.83E-16
AT3G48460,50.84869966,2.758880202,0.312803494,8.819850974,1.15E-18,1.90E-16
AT4G39210,88.42308146,3.964682487,0.453072384,8.750660217,2.12E-18,3.45E-16
AT2G31360,106.8656323,1.671981224,0.191432713,8.734041319,2.46E-18,3.96E-16
AT1G69260,113.4488476,3.664080829,0.419692417,8.730395587,2.54E-18,4.05E-16
AT4G00430,272.0931325,1.282325763,0.147125816,8.715844669,2.89E-18,4.57E-16
AT1G67360,104.7693941,2.165474542,0.249916649,8.664787051,4.52E-18,7.10E-16
AT5G40390,54.97458842,3.511274165,0.406192416,8.644361705,5.41E-18,8.35E-16
AT1G51140,102.0480661,3.039856229,0.360744696,8.426613789,3.56E-17,5.06E-15
AT4G39800,168.7157109,1.956707485,0.233672163,8.373729495,5.58E-17,7.87E-15
AT4G18440,112.0756837,2.70985921,0.326434686,8.301382552,1.03E-16,1.41E-14
AT1G54100,293.3925218,2.09775444,0.253014934,8.291030133,1.12E-16,1.52E-14
AT1G78570,112.4199154,1.835387798,0.221815548,8.274387491,1.29E-16,1.74E-14
AT2G28900,257.1257919,3.225423017,0.390433638,8.261129941,1.44E-16,1.93E-14
AT4G27410,108.3528938,2.188354326,0.265368354,8.246478132,1.63E-16,2.17E-14
AT3G02480,973.6465379,5.443581835,0.666637642,8.165728262,3.20E-16,4.15E-14
AT1G58270,401.0447637,1.853140141,0.227255857,8.154421932,3.51E-16,4.52E-14
AT4G39980,91.61620171,1.900058877,0.2332562,8.145802228,3.77E-16,4.82E-14
AT2G41190,240.1645354,4.013525807,0.496178959,8.088867408,6.02E-16,7.60E-14
AT1G04220,67.8660154,2.822456917,0.350323076,8.056725654,7.84E-16,9.72E-14
AT5G59320,515.2168857,3.818016135,0.473911372,8.056392742,7.86E-16,9.72E-14
AT2G46680,357.567499,2.927276763,0.365687575,8.004857046,1.20E-15,1.47E-13
AT5G01820,68.98092241,2.089558614,0.261947467,7.977014011,1.50E-15,1.83E-13
AT3G61890,255.9321394,2.869663864,0.360451244,7.961309362,1.70E-15,2.04E-13
AT3G59220,34.672851,2.848106939,0.35779934,7.96006761,1.72E-15,2.04E-13
AT5G45950,85.56081955,2.246112378,0.282525125,7.950133193,1.86E-15,2.17E-13
AT4G16760,124.3451515,1.507083616,0.18956727,7.950125635,1.86E-15,2.17E-13
AT2G37040,125.9404668,1.718396132,0.217133621,7.914003026,2.49E-15,2.88E-13
AT5G59220,182.3058441,5.951820603,0.752585216,7.908500564,2.61E-15,3.00E-13
AT1G79520,61.62834685,2.60582161,0.330031878,7.895666401,2.89E-15,3.30E-13
AT1G51090,135.8411592,6.030777121,0.764165992,7.891972666,2.97E-15,3.38E-13
AT1G56600,89.29600309,5.894852765,0.74819035,7.878814218,3.31E-15,3.71E-13
AT3G52740,45.98077853,2.48048954,0.316857919,7.828396863,4.94E-15,5.51E-13
AT5G42650,164.6245579,2.943845908,0.377124986,7.806021922,5.90E-15,6.47E-13
AT5G05600,33.60604114,2.710579811,0.347391789,7.802659412,6.06E-15,6.55E-13
AT2G23120,526.4237099,1.196596505,0.153352906,7.802894233,6.05E-15,6.55E-13
AT1G20070,35.19260046,3.599799664,0.462261347,7.787368966,6.84E-15,7.31E-13
AT4G02890,182.1375689,1.522621555,0.195769522,7.777623099,7.39E-15,7.85E-13
AT3G28220,106.1583863,4.256490367,0.549618519,7.744444949,9.60E-15,1.01E-12
AT5G02940,52.40692333,2.320291675,0.299905822,7.736734351,1.02E-14,1.07E-12
AT5G26340,45.94072643,3.405383339,0.440376122,7.732897338,1.05E-14,1.10E-12
AT5G54810,120.367422,1.329774334,0.172731225,7.698517369,1.38E-14,1.43E-12
