GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G15450,184.4532769,-3.365184209,0.198903913,-16.91864255,3.28E-64,3.26E-61
AT2G41100,150.3014407,-4.344027643,0.281472732,-15.4332095,9.79E-54,6.61E-51
AT1G37130,102.8386169,-4.011629278,0.267859538,-14.97661536,1.04E-50,6.16E-48
AT4G16980,204.7911011,-2.827016054,0.191106596,-14.79287532,1.63E-49,9.05E-47
AT2G45180,322.7772938,-4.325184446,0.305361789,-14.1641312,1.53E-45,7.40E-43
AT3G16240,229.3034658,-2.845244562,0.206824539,-13.75680363,4.64E-43,1.86E-40
AT2G10940,360.9516671,-3.16627115,0.232818049,-13.59976668,4.02E-42,1.52E-39
AT1G74670,63.90221898,-5.122324741,0.382939984,-13.37631212,8.32E-41,2.91E-38
AT5G49360,72.91714951,-4.960542906,0.372181158,-13.32830208,1.58E-40,5.35E-38
AT4G35770,86.21069474,-4.661384471,0.351698172,-13.25393433,4.28E-40,1.39E-37
AT3G59400,187.2476608,-2.719423504,0.20625424,-13.1848126,1.07E-39,3.44E-37
AT5G20250,48.3697597,-4.889719401,0.371988015,-13.14483049,1.82E-39,5.74E-37
AT5G23060,180.3340049,-2.132598816,0.16272148,-13.10582238,3.05E-39,9.45E-37
AT3G30775,52.55700183,-3.75324254,0.291303766,-12.88429115,5.52E-38,1.63E-35
AT4G25050,269.7575391,-2.155096098,0.17050219,-12.63969745,1.28E-36,3.60E-34
AT3G27690,721.906785,-2.64108767,0.2119431,-12.46130528,1.21E-35,3.32E-33
AT1G03870,50.04668002,-5.748564282,0.463846952,-12.39323501,2.84E-35,7.36E-33
AT1G75750,80.35373316,-3.321183007,0.268123239,-12.38677788,3.08E-35,7.87E-33
AT5G57660,87.33064897,-2.897411897,0.234593554,-12.35077371,4.82E-35,1.20E-32
AT5G25460,94.44787179,-3.76880174,0.306050908,-12.31429688,7.59E-35,1.84E-32
AT4G08950,47.71797448,-5.289388999,0.429506367,-12.31504212,7.52E-35,1.84E-32
AT4G27450,49.88021529,-4.98429392,0.408335856,-12.20635869,2.87E-34,6.79E-32
AT2G46330,91.74317897,-2.925620541,0.240412903,-12.16914944,4.54E-34,1.06E-31
AT5G44020,101.5224495,-4.892301015,0.403407807,-12.12743265,7.56E-34,1.74E-31
AT2G38310,42.88673456,-5.414827475,0.449709355,-12.04072678,2.17E-33,4.88E-31
AT1G77760,54.08067668,-3.997416116,0.334502605,-11.9503288,6.47E-33,1.42E-30
AT5G44580,101.1936223,-2.767154524,0.238021382,-11.62565524,3.05E-31,6.20E-29
AT2G19800,39.84776929,-4.534315935,0.392568669,-11.55037651,7.35E-31,1.48E-28
AT5G19120,41.5125766,-5.483143575,0.478471416,-11.4597098,2.10E-30,4.18E-28
AT5G19190,43.53128349,-4.879053384,0.427322821,-11.41772249,3.41E-30,6.71E-28
AT4G30270,68.71112473,-3.440875946,0.306520257,-11.225607,3.05E-29,5.55E-27
AT4G12470,56.9486167,-4.286009062,0.385660907,-11.11341334,1.08E-28,1.92E-26
AT1G72430,42.67782467,-5.610413438,0.509596091,-11.00952998,3.44E-28,5.96E-26
AT1G62380,438.8229754,-3.391750196,0.309350033,-10.96411779,5.69E-28,9.68E-26
AT3G54500,53.10614693,-3.863453816,0.35312156,-10.94086075,7.35E-28,1.24E-25
AT1G08930,45.13986711,-3.950903547,0.364649522,-10.83479701,2.35E-27,3.87E-25
AT3G01290,50.3606258,-3.713269071,0.346335942,-10.72158163,8.06E-27,1.29E-24
AT2G20670,45.47606826,-4.569837408,0.428090177,-10.67494106,1.33E-26,2.08E-24
AT1G76100,142.4942316,-1.648860737,0.157700893,-10.45562083,1.38E-25,2.06E-23
AT5G14120,34.83730169,-3.695383106,0.353408484,-10.45640745,1.37E-25,2.06E-23
AT5G67420,36.10040204,-3.566515182,0.341118769,-10.45534723,1.38E-25,2.06E-23
AT2G39730,2664.779747,-1.96368685,0.187891598,-10.45116904,1.45E-25,2.14E-23
AT5G57560,90.22958226,-2.361170161,0.228590526,-10.32925642,5.20E-25,7.38E-23
AT1G66200,112.4884962,-2.554479994,0.248726261,-10.27024642,9.60E-25,1.34E-22
AT3G16770,104.3674342,-2.35877786,0.22973475,-10.2673969,9.88E-25,1.37E-22
AT3G48360,37.6430457,-3.032896703,0.295840303,-10.25180365,1.16E-24,1.60E-22
AT3G08940,995.2600019,-1.633612574,0.159691568,-10.22979857,1.46E-24,2.00E-22
AT3G06750,37.52624252,-3.215833151,0.314673534,-10.21958571,1.62E-24,2.20E-22
AT2G06850,179.4339354,-3.054270201,0.299287412,-10.20514087,1.88E-24,2.54E-22
AT1G80180,79.70783284,-2.653450925,0.261590389,-10.14353371,3.54E-24,4.58E-22
AT5G48490,34.63624802,-5.405715761,0.534434039,-10.1148418,4.75E-24,6.06E-22
AT4G36850,40.56445032,-6.919175323,0.685289282,-10.09672194,5.71E-24,7.24E-22
AT5G65010,47.2861097,-2.594066885,0.256962666,-10.09511198,5.81E-24,7.31E-22
AT3G26520,618.5630756,-1.993260132,0.197721858,-10.08113192,6.70E-24,8.38E-22
AT1G78460,52.00950383,-3.00798004,0.300043468,-10.02514755,1.18E-23,1.46E-21
AT1G44446,76.28055329,-2.143574377,0.215321666,-9.955219185,2.39E-23,2.86E-21
AT4G12480,55.98024224,-3.340586087,0.336577389,-9.92516489,3.24E-23,3.82E-21
AT2G42220,303.5914761,-1.357192212,0.136878904,-9.9152767,3.57E-23,4.17E-21
AT2G05070,1383.396536,-2.0853637,0.210611952,-9.901449937,4.10E-23,4.76E-21
AT2G30520,44.79199383,-3.224031457,0.326135812,-9.885548711,4.81E-23,5.54E-21
AT4G34150,75.41352767,-2.835667543,0.286948578,-9.882145291,4.98E-23,5.70E-21
AT3G15850,80.20647142,-2.026200043,0.205768847,-9.84697183,7.06E-23,7.99E-21
AT5G15350,46.54549629,-2.894601119,0.294109166,-9.841927609,7.43E-23,8.35E-21
AT5G48485,44.24479501,-2.855735434,0.291239357,-9.805458517,1.07E-22,1.19E-20
AT4G38470,36.70828048,-2.84932845,0.2906854,-9.802103739,1.10E-22,1.22E-20
AT1G19770,53.1328641,-2.715321875,0.277797221,-9.774474571,1.45E-22,1.59E-20
AT4G37800,88.58747873,-2.564598832,0.262713941,-9.761944186,1.64E-22,1.79E-20
AT5G22920,33.92609131,-3.275350302,0.335740399,-9.75560378,1.75E-22,1.90E-20
AT1G65930,208.286086,-1.373640265,0.141365551,-9.716937792,2.55E-22,2.73E-20
AT1G23310,676.5110289,-1.378215985,0.142792441,-9.651883324,4.83E-22,5.09E-20
AT4G35100,242.4775234,-1.321705844,0.137174505,-9.635214953,5.68E-22,5.93E-20
AT1G74470,464.9628012,-1.365557659,0.14216647,-9.605342677,7.59E-22,7.88E-20
AT1G13245,57.0088667,-3.434251537,0.361091096,-9.510762175,1.89E-21,1.89E-19
AT2G46220,91.78633389,-2.10648736,0.221515151,-9.509450502,1.92E-21,1.91E-19
AT5G19240,83.04913512,-3.194743063,0.338787647,-9.429927842,4.10E-21,4.00E-19
AT2G21330,489.0466555,-1.741892238,0.186096003,-9.360180829,7.96E-21,7.63E-19
AT3G14420,536.8456516,-1.334971759,0.142673865,-9.356806576,8.22E-21,7.84E-19
AT3G22060,37.8401282,-3.843951027,0.41211367,-9.327404804,1.08E-20,1.03E-18
AT3G45640,63.94001633,-2.187295068,0.234941936,-9.309938882,1.28E-20,1.20E-18
AT4G17870,50.79857897,-2.52346645,0.271894701,-9.281043136,1.68E-20,1.53E-18
AT2G40000,87.50365699,-2.856535254,0.308180192,-9.269042362,1.88E-20,1.70E-18
AT3G51920,69.55390482,-2.242534457,0.242985559,-9.229085318,2.73E-20,2.44E-18
AT1G10960,460.1425229,-1.917200649,0.207810974,-9.225694936,2.82E-20,2.51E-18
AT4G23400,37.76687903,-3.216121536,0.349601481,-9.199393333,3.60E-20,3.18E-18
AT4G13340,29.32172607,-3.689517948,0.401643993,-9.186040394,4.08E-20,3.58E-18
AT1G72930,44.82667811,-2.68881717,0.292900024,-9.179982769,4.31E-20,3.75E-18
AT3G54400,69.28464546,-2.727879117,0.297721807,-9.162510283,5.07E-20,4.37E-18
AT1G20340,2147.263198,-1.201530452,0.131245651,-9.154821093,5.44E-20,4.66E-18
AT2G16060,22.6937231,-5.068043695,0.553879161,-9.150089141,5.69E-20,4.84E-18
AT3G49940,24.50841671,-3.595992861,0.394045075,-9.125841405,7.12E-20,6.00E-18
AT1G57990,25.87953904,-4.964267725,0.545677837,-9.097433296,9.25E-20,7.77E-18
AT2G26080,130.3733389,-1.628959945,0.179734634,-9.063138869,1.27E-19,1.06E-17
AT5G65660,75.97856762,-1.907859891,0.212102936,-8.994971614,2.36E-19,1.92E-17
AT1G66180,45.37446306,-2.397667954,0.267590821,-8.96020254,3.24E-19,2.58E-17
AT1G58290,131.2115545,-1.916043173,0.214268073,-8.942270983,3.81E-19,3.01E-17
AT5G14740,645.1717406,-2.008614209,0.224786977,-8.935634238,4.05E-19,3.19E-17
