GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G15450,184.4532769,-4.094508082,0.21630476,-18.92934807,6.54E-80,1.05E-76
AT3G27690,721.906785,-4.105104219,0.225137984,-18.23372561,2.79E-74,2.83E-71
AT2G05070,1383.396536,-3.475130103,0.21536157,-16.13625912,1.42E-58,9.45E-56
AT2G10940,360.9516671,-3.873737769,0.241024936,-16.07193778,4.01E-58,2.58E-55
AT4G16980,204.7911011,-3.100386533,0.196888313,-15.74693026,7.21E-56,4.49E-53
AT2G45180,322.7772938,-4.905481518,0.316230578,-15.51235669,2.86E-54,1.63E-51
AT3G08940,995.2600019,-2.412404521,0.162547996,-14.84118278,7.93E-50,3.93E-47
AT4G25050,269.7575391,-2.613990842,0.176699475,-14.79342731,1.62E-49,7.80E-47
AT3G16240,229.3034658,-3.107141093,0.211061366,-14.72150568,4.69E-49,2.16E-46
AT1G37130,102.8386169,-3.920849794,0.266557404,-14.70921361,5.63E-49,2.53E-46
AT2G41100,150.3014407,-3.97945458,0.272924685,-14.58077923,3.72E-48,1.56E-45
AT2G42220,303.5914761,-2.1101159,0.146573738,-14.39627539,5.46E-47,2.11E-44
AT3G47470,3349.304351,-1.951852733,0.139508239,-13.99094952,1.77E-44,6.11E-42
AT5G57660,87.33064897,-4.075509956,0.291357978,-13.98798133,1.85E-44,6.25E-42
AT5G23060,180.3340049,-2.289934572,0.166525806,-13.75122944,5.01E-43,1.61E-40
AT3G59400,187.2476608,-2.769728739,0.208550879,-13.28082983,2.99E-40,8.75E-38
AT1G74470,464.9628012,-1.945101688,0.146814284,-13.24872235,4.59E-40,1.30E-37
AT1G74670,63.90221898,-4.668312734,0.355612284,-13.12753509,2.29E-39,6.14E-37
AT1G75750,80.35373316,-3.717771006,0.287433428,-12.93437242,2.88E-38,7.32E-36
AT5G20250,48.3697597,-5.047271653,0.391444979,-12.89394916,4.87E-38,1.21E-35
AT3G30775,52.55700183,-3.885857247,0.302763294,-12.83463789,1.05E-37,2.56E-35
AT5G25460,94.44787179,-4.021633866,0.317507795,-12.66625238,9.10E-37,2.14E-34
AT3G26520,618.5630756,-2.5367439,0.200565592,-12.64795161,1.15E-36,2.67E-34
AT5G44020,101.5224495,-5.550850151,0.441670307,-12.56785901,3.17E-36,7.29E-34
AT1G62380,438.8229754,-3.931943031,0.314203919,-12.51398469,6.26E-36,1.39E-33
AT5G49360,72.91714951,-4.175471067,0.334475076,-12.48365385,9.17E-36,1.99E-33
AT4G08950,47.71797448,-5.075539576,0.414225874,-12.25307229,1.62E-34,3.32E-32
AT1G77760,54.08067668,-4.531458564,0.372333072,-12.17044338,4.47E-34,8.99E-32
AT1G03870,50.04668002,-5.812257861,0.478111989,-12.15668711,5.29E-34,1.05E-31
AT2G46330,91.74317897,-2.943715858,0.24232912,-12.14759441,5.91E-34,1.16E-31
AT4G27450,49.88021529,-5.071012523,0.419946029,-12.07539106,1.42E-33,2.67E-31
AT4G35770,86.21069474,-3.859377156,0.321997263,-11.98574522,4.22E-33,7.84E-31
AT1G58290,131.2115545,-2.844460186,0.23741327,-11.9810497,4.47E-33,8.21E-31
AT5G54270,2082.311643,-2.393787723,0.201152933,-11.90033713,1.18E-32,2.09E-30
AT1G44446,76.28055329,-2.956338086,0.25129369,-11.76447403,5.95E-32,1.04E-29
AT1G76100,142.4942316,-1.925686181,0.163744076,-11.76034105,6.25E-32,1.08E-29
AT2G38310,42.88673456,-5.585311501,0.476536423,-11.72063925,9.99E-32,1.69E-29
AT4G30270,68.71112473,-3.736291593,0.320475128,-11.65860082,2.07E-31,3.45E-29
AT3G15850,80.20647142,-2.616418937,0.22659805,-11.54652006,7.69E-31,1.26E-28
AT5G19120,41.5125766,-5.039995535,0.437034795,-11.53225234,9.07E-31,1.47E-28
AT2G19800,39.84776929,-5.099432664,0.449943193,-11.3335033,8.95E-30,1.44E-27
AT4G12470,56.9486167,-5.012554473,0.443605155,-11.29958572,1.32E-29,2.09E-27
AT3G55240,61.15122444,-3.633734691,0.324096155,-11.21190313,3.56E-29,5.51E-27
AT5G19190,43.53128349,-5.264934528,0.470672569,-11.18598124,4.78E-29,7.26E-27
AT4G37800,88.58747873,-3.090923391,0.279863099,-11.04441209,2.33E-28,3.41E-26
AT3G54500,53.10614693,-4.767328452,0.433509876,-10.99704694,3.95E-28,5.73E-26
AT3G61430,182.7409617,-1.882084946,0.172961512,-10.88152461,1.41E-27,1.99E-25
AT3G16770,104.3674342,-2.538625507,0.234588199,-10.82162493,2.72E-27,3.78E-25
AT4G36850,40.56445032,-6.382216956,0.592271037,-10.77583836,4.48E-27,6.18E-25
AT1G08930,45.13986711,-3.989885477,0.370516454,-10.76844343,4.85E-27,6.64E-25
AT1G78460,52.00950383,-3.46620162,0.323745179,-10.70657372,9.48E-27,1.25E-24
AT1G15820,1492.385235,-1.83479777,0.172822575,-10.61665568,2.49E-26,3.25E-24
AT2G20670,45.47606826,-4.508777102,0.427596672,-10.54446257,5.39E-26,6.76E-24
AT2G39730,2664.779747,-1.975963529,0.18796022,-10.51266876,7.55E-26,9.41E-24
AT3G06750,37.52624252,-3.595819909,0.343084506,-10.48085778,1.06E-25,1.29E-23
AT1G72430,42.67782467,-6.137684673,0.58790284,-10.43996432,1.63E-25,1.98E-23
AT5G44580,101.1936223,-2.361680187,0.228920033,-10.31661649,5.93E-25,6.77E-23
AT2G06850,179.4339354,-3.085502674,0.300331964,-10.27364064,9.26E-25,1.03E-22
AT4G12480,55.98024224,-3.581559266,0.349565306,-10.24575152,1.24E-24,1.36E-22
