"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G52310",1265.10637757495,6.85892013095495,0.344572687871953,19.9055826894318,3.64034134975583e-88,6.5719082387142e-84
"AT5G15970",2041.92344435703,4.14115839822199,0.211153475396602,19.6120778521112,1.21946706157351e-85,1.10075194312933e-81
"AT2G15970",1727.77375225394,3.13953481511488,0.162486016651022,19.3218769210016,3.51629775387926e-83,2.11599077835941e-79
"AT1G01470",1112.09487125555,3.02312120633245,0.160437656435447,18.8429653829357,3.35624316227832e-79,1.51475644521526e-75
"AT2G42540",3293.98612648664,7.52454222422655,0.413579381628831,18.193707323107,5.78887575614763e-74,2.09013148051467e-70
"AT1G13930",1611.31763667941,2.42261995972591,0.149773561711629,16.1752176555057,7.54307185276303e-59,2.26958460263218e-55
"AT3G15450",184.45327688549,-3.13939629582736,0.196676213350843,-15.962257165421,2.34109336720237e-57,6.03767979401491e-54
"AT2G33380",783.694292205264,6.98881300202913,0.442862386533993,15.781003793811,4.20448021408286e-56,9.48793516310473e-53
"AT4G23600",349.254903319323,5.31435937852897,0.341133182246381,15.5785471924297,1.0184315129356e-54,2.04286045589183e-51
"AT5G15960",2209.7610633751,4.3753774044613,0.284113769202495,15.4000892555928,1.63443596072472e-53,2.95064723989634e-50
"AT4G24960",201.043841523309,3.6441684299978,0.240665774143997,15.142030240733,8.55319027552608e-52,1.40373403676429e-48
"AT1G10370",135.398358091197,2.77385196085718,0.186644077763798,14.8617196649955,5.84064620019152e-50,8.78676548767146e-47
"AT5G25610",832.287269831415,2.90979017872365,0.196279693015268,14.824713316101,1.01411936159662e-49,1.40829975653107e-46
"AT3G50970",1143.31143978846,3.9349660875209,0.269621029917698,14.5944331149616,3.04735180727042e-48,3.92956015547521e-45
"AT1G62570",326.516141766515,4.15844351493876,0.290018281541581,14.3385564966274,1.2564161928943e-46,1.51213876868805e-43
"AT5G57560",90.2295822616956,-4.02083880013612,0.282590957053911,-14.2284765303691,6.09961375137551e-46,6.88227044084888e-43
"AT5G61820",244.6329073642,2.64770218783083,0.189796250105436,13.9502344559494,3.13572881752584e-44,3.32995954957612e-41
"AT5G24770",827.310803369398,4.76007205649567,0.341424938867081,13.9417819690928,3.53014901602903e-44,3.54054334368734e-41
"AT2G39800",711.571122312798,3.91190747381904,0.283636863560531,13.7919571691505,2.84923632380451e-43,2.70722438703383e-40
"AT3G23810",402.352385463458,2.29644046572847,0.170257706798281,13.4880265270415,1.83958893852072e-41,1.66050495535573e-38
"AT3G45140",601.358070390867,4.46378654266177,0.338575027528129,13.1840395177725,1.0842610285279e-39,9.32103064191149e-37
"AT4G27520",745.952388578902,2.09763044252692,0.160753390664277,13.0487477362619,6.46005067720014e-39,5.301058857977e-36
"AT4G26080",200.232293092926,3.22001032387906,0.256661781709221,12.5457335425463,4.19511497474236e-36,3.29280046256625e-33
"AT4G23630",218.39723406258,1.83458409487158,0.146365536371328,12.5342627803943,4.84849106972675e-36,3.64707538674071e-33
"AT2G41430",502.955380578605,-1.30479412636269,0.104332281377973,-12.5061400855954,6.91012510078692e-36,4.98993953778025e-33
"AT3G46970",155.468291544377,3.82998623447464,0.307077964626295,12.4723577581857,1.0565298790034e-35,7.33597457909555e-33
"AT1G73390",166.041449193659,3.4781123030897,0.280234983244163,12.411413674428,2.26615857285558e-35,1.51522076725043e-32
"AT5G20250",48.3697596960001,-3.64273355652423,0.29365886472954,-12.4046435985482,2.46607591080816e-35,1.59000244349356e-32
"AT1G74670",63.9022189755703,-3.96817243028761,0.321282730174307,-12.3510293507987,4.80921214360206e-35,2.99381747684304e-32
"AT3G11410",213.439268008655,3.14988840655215,0.255444498710742,12.3310089763138,6.16696442465551e-35,3.71107362527686e-32
"AT1G37130",102.838616943636,-2.91822702702117,0.24022955944328,-12.1476600705759,5.90309712071507e-34,3.43769717162158e-31
"AT2G42530",1684.03834955053,8.22666395040845,0.681550570770836,12.0705114238318,1.51191750123868e-33,8.52957707808184e-31
"AT1G03870",50.0466800209365,-3.79357024509242,0.314879742371687,-12.0476795887823,1.99486850506213e-33,1.0913139733905e-30
"AT4G36850",40.564450321908,-5.15026166683256,0.428122230042511,-12.0298861059403,2.47501956150424e-33,1.31416259246577e-30
"AT1G78680",166.686595346982,2.5769187569262,0.215529387982904,11.9562291761836,6.0235644077286e-33,3.10695452150641e-30
"AT1G19570",918.738424575375,1.96886117537413,0.165401046345139,11.9035593720837,1.13404882657562e-32,5.68693985171378e-30
"AT4G08950",47.7179744798099,-4.10891336677466,0.345914026901421,-11.8784236753302,1.53229646629797e-32,7.47636435299385e-30
"AT1G80920",309.014804967173,-2.16386857880042,0.182277607539036,-11.8712803400001,1.66893704806597e-32,7.72546680223972e-30
"AT5G49360",72.9171495073179,-3.83088428151994,0.322685837782664,-11.8718698900574,1.65721595381447e-32,7.72546680223972e-30
"AT4G30650",514.657929813083,4.30696271860967,0.364485199145655,11.8165640983642,3.20527529746569e-32,1.4466208736287e-29
"AT5G03210",310.588648333992,6.80648331535761,0.578463493466802,11.7664872411663,5.80934824496732e-32,2.55795521625354e-29
"AT2G38310",42.8867345552186,-3.8381712793682,0.326716855210143,-11.7476990187712,7.25680009265154e-32,3.11921457315805e-29
"AT1G73480",85.0550772244908,3.33831234731241,0.285096443769466,11.7094142009426,1.14064963366977e-31,4.78887158991637e-29
"AT1G20450",1591.42244925052,3.30664876038744,0.282612414616088,11.700295490838,1.27010453408808e-31,5.21118117133913e-29
"AT4G27450",49.880215290993,-4.26423538169139,0.365318332151155,-11.6726564379666,1.75845213112159e-31,7.05451918291957e-29
"AT3G25770",456.314335167887,3.17691867770822,0.273299707432848,11.624303251363,3.10113154772816e-31,1.21705930067688e-28
"AT4G39330",257.205882200089,1.82947092530873,0.15813420314189,11.5691032614063,5.90970935701619e-31,2.269957085579e-28
"AT5G19120",41.5125766044227,-4.22874490751473,0.3745764027297,-11.2894055170001,1.48034511705189e-29,5.56763966627869e-27
"AT2G17840",174.348314475873,2.47457199798197,0.219831646739084,11.2566686129546,2.14723202062355e-29,7.91101625884021e-27
"AT3G48360",37.6430457036663,-4.47896514777746,0.39920659815965,-11.2196671308179,3.26497056373089e-29,1.17885027174067e-26
"AT1G76790",104.259939955283,2.84437555116739,0.25525976779387,11.143062519215,7.74107465364196e-29,2.74018864161173e-26
"AT1G26770",81.269873906701,3.38871258379585,0.305098980044229,11.1069285885669,1.16083869973209e-28,4.03011943197373e-26
"AT1G52690",853.094471366552,5.41188467275763,0.49271551654525,10.9837918454525,4.57316322390742e-28,1.55772293738114e-25
"AT2G19800",39.8477692889959,-3.71942067276025,0.344206735055435,-10.8057754075069,3.23214550673852e-27,1.08055412653982e-24
"AT5G24780",257.238260977699,4.17056358471913,0.389162518192953,10.7167658490978,8.49210060770151e-27,2.73764093340778e-24
"AT4G11600",278.456861276233,1.77324834478928,0.165441335600646,10.7182907968639,8.3532677604275e-27,2.73764093340778e-24
"AT2G20570",75.5589430301255,2.3623382992834,0.223819651745007,10.5546509471597,4.83433023873089e-26,1.5311256806984e-23
"AT1G19670",68.4473440087843,3.67500011212087,0.349456521708839,10.5163300262652,7.26484415773986e-26,2.26124537206341e-23
"AT1G29395",366.765253341654,4.08653681546093,0.39018064243387,10.473448375014,1.14398165586524e-25,3.49498854637443e-23
"AT2G38750",54.027233978524,3.01890059582488,0.288282989301605,10.4720039262062,1.16157598616554e-25,3.49498854637443e-23
"AT3G57010",127.641423628851,3.57973026371872,0.342259189451648,10.4591209645941,1.33084569559698e-25,3.93864874469055e-23
"AT3G26290",95.0161534974159,2.90940649325044,0.278264213846978,10.4555539249124,1.38188909458612e-25,4.02374900396182e-23
"AT5G17460",166.303148622934,4.28487442273856,0.414055930217931,10.3485401609471,4.24915269704671e-25,1.21761831174261e-22
"AT1G80180",79.707832835388,-2.73087889442493,0.265738171102283,-10.2765774412356,8.9862183454226e-25,2.53481562171741e-22
"AT1G16850",292.705852256761,4.61315758754866,0.449114261870175,10.271679123123,9.45445620975149e-25,2.62586612237913e-22
"AT5G06760",684.891793108538,6.75276338109333,0.661111143669976,10.214263434749,1.71174212574028e-24,4.68213342363474e-22
"AT5G08640",81.7843028801121,2.8911412106012,0.284902962113376,10.1478102900548,3.38881553330181e-24,9.13108758547726e-22
"AT1G10760",206.561300484923,3.38181371291029,0.333700143040498,10.1342890719105,3.89194241531045e-24,1.03325347681764e-21
"AT5G22920",33.9260913078666,-3.73787839420982,0.369499924208261,-10.1160464436335,4.68978248971792e-24,1.22702381575185e-21
"AT1G43160",53.82532134466,4.17913732420358,0.414039806171108,10.0935641016035,5.89880165684997e-24,1.52130094730161e-21
"AT3G44860",48.8093408218377,5.51629194341293,0.554926140409403,9.94058765972572,2.77187043642665e-23,7.04796858997329e-21
"AT4G35770",86.2106947442806,-2.98891533036814,0.301228498119102,-9.92241885821293,3.3259652075037e-23,8.33939581820338e-21
"AT3G25760",127.338151378437,2.51141213451008,0.253229191146052,9.91754593198382,3.49237134680334e-23,8.63668218134803e-21
"AT5G14120",34.8373016914454,-3.35506693197656,0.338560713419934,-9.90979401622153,3.77423492248425e-23,9.20760311562272e-21
"AT2G43530",79.8603468066816,2.24171814364383,0.226646058392087,9.89083224984113,4.56219178544652e-23,1.09814997736888e-20
"AT5G61590",54.083359392463,-4.5676202049885,0.46213663854383,-9.88370067212339,4.89895642074759e-23,1.16369552978627e-20
"AT2G40000",87.5036569923878,-3.11079280318886,0.315335289213607,-9.86503226754813,5.9015471137822e-23,1.38364454604039e-20
"AT2G41100",150.301440747483,-2.44456337209093,0.248358800987915,-9.84286992193154,7.35813266663986e-23,1.70303037219038e-20
"AT2G46330",91.7431789685598,-2.23908052004936,0.227572812278215,-9.83896317681396,7.64950794343967e-23,1.74805780889768e-20
"AT1G19770",53.1328640968372,-2.71922116645732,0.281036826693229,-9.67567559900445,3.82556477907286e-22,8.63286511957529e-20
"AT4G27560",84.6280930750904,4.17464327262402,0.433835581455821,9.62263920035139,6.41633431241431e-22,1.43005041162982e-19
"AT1G78070",82.4328397702341,2.66895392005068,0.278955000450903,9.56768624235658,1.0932484281287e-21,2.40687974061065e-19
"AT3G22840",168.850889920159,2.60088116868531,0.272859175724926,9.5319542096224,1.5434987019296e-21,3.3572026585464e-19
"AT2G40840",92.5310227120518,2.25419582663911,0.237133430776648,9.50602291400364,1.98091436873722e-21,4.25731513081108e-19
"AT1G20440",2119.45836048019,2.45140076532806,0.258912052584104,9.46808285231044,2.85026724831385e-21,6.02875839848166e-19
"AT1G48100",50.6608535170352,4.89325358524954,0.51685889586135,9.46729102358757,2.87195049171563e-21,6.02875839848166e-19
"AT1G72430",42.6778246708232,-3.33525046321776,0.352484870603082,-9.46210955809631,3.01792132366878e-21,6.26236019036695e-19
"AT2G43550",87.7623247842307,2.53637462348748,0.268134624758026,9.45933269817876,3.0991462899907e-21,6.35782817877296e-19
"AT3G55120",114.628091501656,2.36090733009543,0.250326953289805,9.43129494873926,4.05056898117079e-21,8.2162833502333e-19
"AT5G19190",43.5312834873916,-3.05518805803057,0.325712128251839,-9.38002546736089,6.59567952816693e-21,1.32302002802219e-18
"AT3G29575",139.302226375972,3.47658037021205,0.371740054798613,9.3521812495978,8.58584831395997e-21,1.7033002155156e-18
"AT4G04020",419.377483672635,1.37340418821838,0.148008114456953,9.27924927128118,1.70676860189652e-20,3.34916234456934e-18
"AT1G68840",28.3048737996387,-3.5729644762019,0.386822841538491,-9.23669466361224,2.54229266268236e-20,4.9350547784306e-18
"AT5G43150",157.008330599597,2.17152083064039,0.235166898935801,9.23395614122206,2.60816625933028e-20,5.0090665403925e-18
"AT1G77450",88.8515304975879,3.20092797698608,0.347843460750263,9.20220828668738,3.50667798119336e-20,6.66379553626145e-18
"AT3G30775",52.5570018305763,-2.06703317721954,0.227463109514793,-9.08733368513593,1.01497502665966e-19,1.90868168294655e-17
"AT5G59480",75.3053382216457,2.17582941760743,0.241294775382306,9.01730845253512,1.92767058998471e-19,3.58765331556638e-17
"AT5G63160",66.935674064343,-2.04096646027792,0.226829625936992,-8.99779493902995,2.3029646697667e-19,4.24238991666308e-17
"AT3G44310",467.17789049976,1.19843836974501,0.133324875312929,8.98885798266928,2.49812587172135e-19,4.55542084466521e-17
"AT4G02380",292.442941404497,-1.9481889923471,0.217173857690539,-8.9706422912244,2.94790349351685e-19,5.32185017684597e-17
"AT5G48880",63.613180457904,3.62284573811248,0.404418098802602,8.95816915424648,3.30113798509862e-19,5.90053901435499e-17
"AT1G17940",88.1524950136928,4.04218719608783,0.45145018507099,8.95378345110702,3.43502323532434e-19,6.07965435954023e-17
"AT5G05270",113.492624997646,1.92896382267193,0.216508861715656,8.90939893816108,5.1309969692527e-19,8.99319303746785e-17
"AT3G05640",107.054988077222,4.88171273224188,0.548826006776795,8.89482763565038,5.85100407242821e-19,1.01565554345718e-16
"AT4G34230",137.582218165162,2.41646525751589,0.271832743741568,8.88952973161035,6.136808318733e-19,1.05512191026749e-16
"AT5G66400",1554.91530374377,3.76322117801486,0.424555056573703,8.86391792947957,7.72506305075371e-19,1.31566569108733e-16
"AT2G29450",222.83098469663,1.91333506838937,0.216781678672282,8.82609213153035,1.08396742967008e-18,1.82886579512466e-16
"AT1G77760",54.0806766781266,-2.46968049509126,0.279932057474887,-8.82242826123199,1.12003951677312e-18,1.8722290181764e-16
"AT3G48460",50.848699662097,2.7588802021565,0.312803494100755,8.81985097413218,1.14612155369926e-18,1.89825067971859e-16
"AT2G16060",22.69372309795,-3.49901923881902,0.398238726938104,-8.78623549678746,1.54655220367457e-18,2.53817335753974e-16
"AT4G39210",88.4230814615315,3.96468248652711,0.453072384068421,8.75066021664296,2.12108126781325e-18,3.44971893043536e-16
"AT2G31360",106.865632274461,1.67198122420568,0.19143271289191,8.73404131899724,2.45731285331664e-18,3.96088115543977e-16
"AT1G69260",113.44884756669,3.66408082898611,0.419692417411883,8.7303955872765,2.53783397497219e-18,4.05447050886487e-16
"AT4G00430",272.093132454032,1.28232576297945,0.147125816446274,8.71584466923052,2.88598779745582e-18,4.57024014977806e-16
"AT1G67360",104.769394133031,2.16547454175833,0.249916648733908,8.66478705091775,4.52357730686024e-18,7.10122966267373e-16
"AT2G20670",45.4760682585984,-3.12393275386749,0.361061213547531,-8.65208622984991,5.05664133563796e-18,7.86961603726483e-16
"AT5G40390",54.9745884241481,3.51127416459648,0.406192415854967,8.64436170529141,5.41069027554962e-18,8.34864884995703e-16
"AT4G38470",36.7082804767665,-2.35809579205567,0.272833956238249,-8.64297034199249,5.47701409895455e-18,8.37936741766326e-16
"AT4G33560",21.8952837756242,-3.66538945569506,0.424313948882399,-8.63839019515935,5.70106158285844e-18,8.64884577775995e-16
"AT3G26510",38.9026426537639,-2.63860118189409,0.306606750245855,-8.60581568989692,7.57759415541227e-18,1.13998589406381e-15
"AT1G23390",40.1300775594994,-2.9374313386387,0.343085138294841,-8.56181457826462,1.11104786824211e-17,1.65514893544128e-15
"AT2G45170",38.2548845190433,-2.55297735150553,0.29820875389148,-8.56104094259613,1.11852971873836e-17,1.65514893544128e-15
"AT4G13340",29.3217260652348,-3.26163828946088,0.381178335004284,-8.55672526463033,1.16118818416458e-17,1.70430327550595e-15
"AT5G67420",36.1004020398438,-2.47380604161802,0.289563198081442,-8.54323359463049,1.30517192006406e-17,1.90018295749327e-15
"AT3G23030",92.7423892990462,-1.78682762780683,0.209347189007859,-8.53523582654724,1.3986984078439e-17,2.02005618854447e-15
"AT5G65660",75.9785676196439,-1.78133810256152,0.211365196680779,-8.42777396910734,3.52302728446131e-17,5.04771520368096e-15
"AT1G51140",102.048066081215,3.03985622902146,0.360744695918501,8.42661378923842,3.55811797502009e-17,5.05785069315257e-15
"AT4G39800",168.715710923281,1.95670748469146,0.233672163156313,8.37372949461051,5.58228153182821e-17,7.87319753860115e-15
"AT3G10020",160.934698532503,-1.91718251236626,0.22935262312782,-8.35910436174868,6.31961881802452e-17,8.84403709471292e-15
"AT3G29240",77.5065615408598,-1.79997982499045,0.215957963468866,-8.33486200776267,7.75886291665509e-17,1.0774673248798e-14
"AT3G16240",229.30346582254,-1.64283200469033,0.197287436865987,-8.32709893132363,8.28475072782995e-17,1.14171454114133e-14
"AT4G18440",112.075683722564,2.7098592103703,0.326434686457957,8.30138255151177,1.02906751803143e-16,1.40740575022889e-14
"AT1G54100",293.392521830431,2.09775443990569,0.253014933773326,8.29103013257331,1.12271835536551e-16,1.5239424413093e-14
"AT1G78570",112.419915424997,1.83538779776056,0.221815548244559,8.27438749125461,1.29117623029062e-16,1.73952272279378e-14
"AT2G28900",257.12579188806,3.22542301699328,0.390433638006072,8.26112994122478,1.44299894166956e-16,1.92966369584893e-14
"AT4G27410",108.352893841376,2.1883543256352,0.26536835368611,8.24647813214262,1.63130973548341e-16,2.16544372460897e-14
"AT5G21170",26.8652299583428,-2.93316741378967,0.355876108283945,-8.24210264615282,1.6921030085326e-16,2.22974712503935e-14
"AT2G01850",69.1549357486939,-1.74125388871556,0.211655339238391,-8.22683658716664,1.92222414093038e-16,2.51463133450842e-14
"AT3G02480",973.646537896067,5.44358183504903,0.666637642146728,8.16572826208768,3.19501766443377e-16,4.14961538820308e-14
"AT1G58270",401.044763669729,1.85314014102808,0.227255856584376,8.15442193165236,3.50853963526736e-16,4.52426185967727e-14
"AT4G39980",91.6162017127061,1.90005887744752,0.233256200465139,8.14580222801619,3.76775517448755e-16,4.82406270673927e-14
"AT1G80440",21.1777307141315,-4.38891619154233,0.539457782949597,-8.13579177140614,4.09254717193791e-16,5.20301085176022e-14
"AT2G41190",240.164535429307,4.01352580707111,0.496178958634445,8.08886740807571,6.02220847802019e-16,7.60272235340549e-14
"AT4G17245",54.470791949952,-2.39596291897983,0.296969776997738,-8.06803622645439,7.14378527986497e-16,8.95602469843071e-14
"AT1G04220",67.8660153979542,2.82245691705102,0.350323076430824,8.05672565395032,7.83652611929439e-16,9.7163326565069e-14
"AT5G59320",515.216885715987,3.81801613462681,0.473911371617734,8.05639274194606,7.85788826150782e-16,9.7163326565069e-14
"AT2G46680",357.567499042997,2.92727676282656,0.365687575174868,8.00485704614592,1.1960553447399e-15,1.46886987337343e-13
"AT5G01820",68.9809224137933,2.08955861416343,0.261947466974911,7.97701401084199,1.49915813628546e-15,1.82866904286226e-13
"AT2G46220",91.7863338930114,-1.72349945484611,0.216234035817218,-7.97052808237358,1.5799775624271e-15,1.91431778083869e-13
