Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01470,1112.0948712555498,4.58765098817532,0.158110480927998,29.0154767808498,4.197507033663958e-185,8.106225583411827e-181
AT5G15960,2209.7610633751,6.98453252722632,0.28266596300423497,24.7094926215848,8.455902485296297e-135,8.165019439802107e-131
AT2G42540,3293.98612648664,10.1848217385278,0.412867244781105,24.668514800508298,2.3294578515472894e-134,1.4995496676360397e-130
AT2G15970,1727.77375225394,3.94373767759848,0.16177157259612,24.3784344449964,2.896341297239769e-131,1.3983535783073595e-127
AT5G66400,1554.9153037437698,9.84117733559492,0.412732025440125,23.843987694196,1.1690452120768898e-125,4.515320227125798e-122
AT5G25610,832.287269831415,4.33642004961624,0.19406950907709503,22.344674700514602,1.3603529408213196e-110,4.37852266552356e-107
AT1G13930,1611.31763667941,3.19508572522431,0.14894410996271898,21.4515748627055,4.414508913532219e-102,1.2178999448304895e-98
AT5G15970,2041.9234443570301,4.52170511091437,0.21091229056725402,21.4387938168663,5.810007741207548e-102,1.4025358687274996e-98
AT5G52310,1265.1063775749499,7.33666013566842,0.344288078042,21.3096549186156,9.237361145733277e-101,1.9821324271822393e-97
AT1G35720,580.739051794998,2.47698990310918,0.124494027598767,19.896455684543398,4.367411444398539e-88,8.434344981422469e-85
AT1G52690,853.0944713665519,9.28682354875167,0.48813440105112,19.0251363738224,1.0561223631163296e-80,1.8541668251365897e-77
AT3G15450,184.45327688549,-4.09450808201695,0.21630475954475303,-18.929348067210697,6.536630674344919e-80,1.0519617631912398e-76
AT2G39800,711.571122312798,5.31173932118377,0.281617512265986,18.861537687922198,2.3624820761952197e-79,3.5095579888832394e-76
AT3G50970,1143.31143978846,5.03453861602525,0.26876438834893,18.7321640599537,2.70685874424343e-78,3.7339182906306394e-75
AT1G62570,326.51614176651503,5.36642424046509,0.286733587763106,18.7157154567421,3.686380276172029e-78,4.746091726228949e-75
AT4G27520,745.952388578902,2.91804528385508,0.159132495195444,18.337205611406898,4.17724341146502e-75,5.041932797638279e-72
AT5G24770,827.3108033693981,6.2254280499852195,0.339830018394527,18.3192411294219,5.811757379783929e-75,6.602156383434539e-72
AT3G49120,472.26809388840104,3.23326776505285,0.177094746589708,18.2572765557166,1.8110201856536993e-74,1.9430234347413394e-71
AT3G27690,721.906785021579,-4.10510421891842,0.22513798369477397,-18.233725609286,2.7867395263577695e-74,2.8325007227905994e-71
AT5G61820,244.63290736419998,3.27567050189163,0.18665580218473699,17.5492562435837,6.026401614932279e-69,5.81909339937861e-66
AT2G33380,783.694292205264,7.72986843007055,0.44235654570276595,17.4742942207178,2.2491138288010797e-68,2.0683279172288797e-65
AT4G23600,349.254903319323,5.844599061348161,0.340065521103888,17.186685208121,3.3409604851569493e-66,2.9327558586068597e-63
AT5G59320,515.216885715987,7.94070755402797,0.46416922940824,17.107354496874798,1.3080717215712897e-65,1.0983252646515098e-62
AT1G29395,366.765253341654,6.5027580856499805,0.38440220959135296,16.9165471045624,3.39775510200983e-64,2.7340602720839098e-61
AT3G11410,213.439268008655,4.20407156507321,0.250711569940817,16.7685582522802,4.14443168642552e-63,3.2014905891299796e-60
AT4G16190,527.967424417012,2.6029284657962,0.155564983613387,16.732097451088702,7.649631833586107e-63,5.681911152700579e-60
AT1G16850,292.70585225676103,7.2026528655408395,0.44256727363787896,16.2747073599352,1.49231200433559e-59,1.0673899788047697e-56
AT2G25625,146.76744352872498,4.44959943484636,0.27503533185925605,16.1782830037392,7.176803320003519e-59,4.949943775568139e-56
AT2G05070,1383.3965361919102,-3.47513010307283,0.215361570252765,-16.1362591245697,1.4188427166904797e-58,9.44851398094016e-56
AT2G10940,360.951667138939,-3.8737377685879304,0.24102493557138296,-16.0719377827224,4.0134156078921194e-58,2.5835694073204195e-55
AT4G16980,204.791101089002,-3.10038653308349,0.19688831290252698,-15.746930264054802,7.209712682782499e-56,4.491418429996629e-53
AT3G02480,973.646537896067,10.3702073436552,0.6609094938697341,15.6908130989856,1.7480209266585296e-55,1.0549306292384199e-52
AT2G42530,1684.03834955053,10.6610503802644,0.6807267463838671,15.6612773582024,2.7825199069958095e-55,1.6283643770879696e-52
AT2G45180,322.77729384918,-4.905481517956599,0.31623057772055796,-15.512356690223,2.8617929300600596e-54,1.6254983842741196e-51
AT1G54100,293.392521830431,3.80260691107723,0.247027732994547,15.3934413151951,1.8113687075718696e-53,9.994614994465108e-51
AT3G26740,1619.50889024301,3.0256107349547796,0.197565541806023,15.314465808645101,6.1212721445050195e-53,3.2837224348522493e-50
AT2G41190,240.164535429307,7.33664365047703,0.48451944272192105,15.142103708494,8.543639438401169e-52,4.45931796849739e-49
AT4G26080,200.232293092926,3.7963377011860002,0.254096752912283,14.9405203241481,1.7956762804249498e-50,9.125815875675438e-48
AT3G08940,995.260001897128,-2.4124045210435296,0.16254799610040302,-14.8411827824283,7.934453722334678e-50,3.9289787252750593e-47
AT4G25050,269.757539140758,-2.61399084224454,0.176699475164952,-14.7934273138295,1.6151551226672398e-49,7.79796893223742e-47
AT4G22240,341.368761402846,2.32305277528226,0.157306160132229,14.7677164920277,2.3659404189126396e-49,1.11441564317173e-46
AT3G16240,229.30346582253998,-3.1071410933064003,0.21106136559247698,-14.721505684303,4.690981633794911e-49,2.15695803123446e-46
AT1G37130,102.838616943636,-3.9208497940404703,0.26655740397157895,-14.709213608857501,5.6257369630529504e-49,2.52661005187159e-46
AT4G11600,278.456861276233,2.37461583173853,0.162187244143035,14.641199708926198,1.53338459538835e-48,6.73016438775904e-46
AT1G73390,166.041449193659,4.04823085501409,0.27725794302845097,14.600955380379,2.7693709885721096e-48,1.1884909451400999e-45
AT2G41100,150.301440747483,-3.9794545795385,0.272924684986324,-14.580779234893699,3.7224340672140403e-48,1.56277492839212e-45
AT1G06460,202.77146167676202,2.80208660956952,0.19254218357142802,14.5531049746822,5.58111970872704e-48,2.2932464641475897e-45
AT4G30650,514.657929813083,5.23419541820619,0.36312200810884104,14.414426284614802,4.1991395180367393e-47,1.6894537994234498e-44
AT5G06760,684.891793108538,9.48817945062503,0.659062523888935,14.396478492872,5.44479366705095e-47,2.10918458456929e-44
AT2G42220,303.591476098839,-2.1101158996849496,0.146573738158518,-14.3962753914544,5.46081344389315e-47,2.10918458456929e-44
AT1G20450,1591.42244925052,4.0533627850214495,0.282211370151533,14.362861364675,8.84965795615989e-47,3.3510704793992103e-44
AT3G22840,168.850889920159,3.83187551183165,0.267559972037261,14.3215574536613,1.6048585155292696e-46,5.96019762536563e-44
AT4G24960,201.04384152330897,3.43514842175947,0.24140785301892298,14.229646545467698,5.9984181850361505e-46,2.18568777338525e-43
AT3G62550,266.905037522111,3.1614321168245,0.224905084487747,14.056739197449,7.0039831880833e-45,2.50483191348638e-42
AT2G21620,171.967931300104,2.57183955712712,0.18332872907337197,14.028568081644302,1.04234960995359e-44,3.65997375771341e-42
AT3G47470,3349.3043505031605,-1.95185273322476,0.13950823922855898,-13.990949523970402,1.7703243968377198e-44,6.10509013423751e-42
AT5G57660,87.3306489681224,-4.07550995630829,0.291357978070794,-13.9879813255638,1.8457697012593996e-44,6.25359727556519e-42
